,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
718,2017-02-27 12:55:59+00:00,5,"The newest restaurant from Jean Georges in the ABC empire is all vegetarian, but just as good as the others. It's one of those rare vegetarian restaurants that makes you not really miss that there's no meat in your meal.

They have pastries and a coffee bar up front, as well as a full service restaurant toward the back of the large, beautiful space. The croissants and other baked goods are vegan, and while you can definitely taste the absence of butter, they are still delicious when you get one freshly made.

The large menu has so much great stuff, lots of which you wouldn't expect to be so incredibly delicious. Standouts from the small dishes include the Wood Roasted Beets ($13) and the Market Carrots ($11), which are slathered in an amazing nut and seed butter. For the larger ones, definitely try the the Dosa ($14) and the Fresh Spinach Spaghetti ($18). I will definitely be back soon to try dinner and more of the great options at breakfast and lunch.",True,20,9,12,Mike C.,en,"{'neg': 0.036, 'neu': 0.671, 'pos': 0.293, 'compound': 0.9968}",0.9968,0.293,0.036,0.671,positive
717,2017-02-28 18:34:39+00:00,3,"They ignore emails and are closed weekends, and despite no line it took 6 minutes from signing my receipt (which listed a 'Pain Au Chocolate') to receive a single pastry, and the $4.36 pain au chocolat (dairy version*) was so dense and un-flaky (albeit with a fair bit of good chocolate) I'm convinced it was the vegan one. It's a nice space with the healthy ABC bent that you can get behind.

*Seems they have no-meat/non-vegan and vegan items here, with vegan alternatives to all items where a non-vegan one exists.",False,5,6,2,George C.,en,"{'neg': 0.091, 'neu': 0.757, 'pos': 0.152, 'compound': 0.6355}",0.6355,0.152,0.091,0.757,positive
716,2017-03-09 20:21:01+00:00,5,"First of all: complimentary bread.

Second of all: Pink Decor. 

Third of all: To all my vegan homies with omnivorous friends- this. Is . it. This is where you go to prove vegan food is just, and even more delicious than meat and dairy. My Michelin loving, burger eating boyfriend said this was the best food he's ever tasted in his entire life. Ever. 

Dinner:

Wood Roasted Beets (5/5)
This one impressed us both. We've both had so many beets in our lives and whatever they did to these badboys is out of this world. The mini pickles and the cream on top and bottom just added to the sweet beet flavor.

Wild Mushroom Burdock Noodles (5/5)
Strong, delicious, woody, earthy, mushroomy.

Whole Artichoke (5/5)
The herb dipping oil!!! If it wasn't for my boyfriend probably being embarrassed, I would have just drank it.

Fresh Spinach Spaghetti (5/5)
These came in a garlicky broccoli bread crumb sauce. Happiest I've ever been about garlic breath. FYI you can request the cheese on the side.

Soft Custardy Tofu (4/5)
I LOOooooVED this texture and there was none of that raw tofu flavor to it. However, there was one strong herb taste that overpowered the dish and our nostrils a bit. I'd still order it again ;)

Dessert:

Vegan Matcha Crème Brulee (5/5)
So delicate so cute so beautiful. I ate half before I remembered to take a picture. Also they wrote Happy Birthday in chocolate and lit a candle because it was my Birthday!

Vegan Chocolate Mousse (4/5)
The mint crumble at the bottom made it. But the white blob at the top, what I'm guessing might have been whipped cream, was sour and distracted from the delicious chocolate.

Cocktails:

Pear and Rose: this alcoholic juice complemented the lunch so nicely. And it was pink!
Cynar Negroni: NO. so bitter.
Root and Rye: kinda like a upscale root beer with good whiskey

 

TL;DR: Everything blew my mind here.",False,7,2,1,Adriana K.,en,"{'neg': 0.037, 'neu': 0.774, 'pos': 0.189, 'compound': 0.9945}",0.9945,0.189,0.037,0.774,positive
715,2017-03-21 02:37:13+00:00,4,"What a stark contrast to the old space when it was Pipa Tapas Bar. A bright interior and friendly staff welcomes you as you enter the what-seems-like a Town & Country set for breakfast or lunch (for now, no dinner service). The vegetarian menu seems to be peppered with Indian-inspired dishes. Tried the dosa with Swiss chard, fried egg and zaatar. This was light yet filling and satisfactory. Also tried the kitchari yogurt with mint, fermented carrot and turmeric. Unfortunately this dish was bland and could've used additional spices. The baked goods were really good. Tried the breakfast cookie, einkorn muffin which tasted like bran, matcha muffin with fresh blueberries (yum!!!) and the morning glory muffin which tasted like carrot cake (my favorite!). So fresh and moist! I would love to follow the baked goods menu and enjoy more of them!",True,1,1,1,Rose I.,en,"{'neg': 0.077, 'neu': 0.703, 'pos': 0.22, 'compound': 0.9768}",0.9768,0.22,0.077,0.703,positive
714,2017-03-28 19:18:55+00:00,5,What an amazing new spot. Absolutely love what thy have done with the decor! Clean and fresh. Went for breakfast and had the wonderful vanilla chia bowl and the matcha muffin. My friend had the sea buckthorn bowl which was a unique smoothie bowl. Overall absolutely amazing. Can't wait to go back to try everything else (especially the dosa; want to see how they put their spin on it),False,0,0,0,Janvi P.,en,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9857}",0.9857,0.349,0.0,0.651,positive
713,2017-04-13 18:38:00+00:00,5,"Have been recently for takeout (veggie bowl and kale avocado cucumber sandwich) which was very delicious, and finally made it to the restaurant which was unbelievable:

Wood roasted beets -- incredibly tangy and tasty, loved everything about this. Wound up putting beets on/soaking up leftover dressing with the dosa.
Dosa -- my friend and I tried both the coconut yogurt (Anita's Yogurt is a favorite!) and cashew (house made) yogurt for toppings. The fermented lentil dosa pancake was absolute perfection.
Wild mushroom burdock root noodles  -- so hearty and flavorful, would have never thought to order this but am so glad we did. The tempeh was excellent.

Also a huge fan of their einkorn muffin at the takeout counter (which I took home to toast and slather with ghee), and they make a mean coconut milk matcha.

Love the overall aesthetic, plates and utensils are wonderfully curated, service was great.

Save room for dessert, we regretted being too full to order a treat. Next round...",False,4,1,1,Sasha N.,en,"{'neg': 0.017, 'neu': 0.69, 'pos': 0.293, 'compound': 0.9958}",0.9958,0.293,0.017,0.69,positive
712,2017-04-15 21:57:23+00:00,4,"Not a big fan of vegetarian restaurants, but this place was truly great.  The homemade hot sauce on the table goes great with everything, especially the amazing lettuce wraps and cauliflower.   Make sure to try the lentil soup, and don't forget to eat your carrots :)",False,0,1,0,Jason G.,en,"{'neg': 0.022, 'neu': 0.543, 'pos': 0.436, 'compound': 0.9852}",0.9852,0.436,0.022,0.543,positive
711,2017-04-19 21:35:53+00:00,3,"5 for the food as I am huge fan and have been here at least a dozen times since they opened. Their dosa is amazing and more authentic than any Indian restaurant in new york!

However zero for the attitude of the management. Often times there are so many tables open and yet they seem to say they are reserved. I waited half an hour and saw no one claim them! There is some thing to serve a loyal customer especially when 50 percent of your tables are empty. I detest restaurants that have this attitude- where they are too good for you. So not approachable - you cannot even call anyone if you want to make a change",False,4,0,0,Yadi V.,en,"{'neg': 0.107, 'neu': 0.769, 'pos': 0.124, 'compound': -0.2225}",-0.2225,0.124,0.107,0.769,negative
710,2017-04-23 14:51:44+00:00,5,"I am a vegetarian. Spectacular and original food. Great ambience. Good service. Good cocktails. If you go there try the dosa, beetroot, carrots and labne!",False,1,1,0,Charles J.,en,"{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.9098}",0.9098,0.397,0.0,0.603,positive
709,2017-04-25 18:17:27+00:00,5,"I have been to pretty much every vegan restaurant in NYC with the exception of a few in Brooklyn and I can confidently say that ABCV is the best vegan restaurant in New York City. I will always love Dirt Candy, Avant Garden, and the Candle spots but ABCV reigns supreme.

The aesthetic of the restaurant is modern and clean with lots of white which immediately create a tone that is much different than other vegan restaurants in the city...or America for that matter. The only place that is more visually appealing in terms of vegan restaurants if Full Bloom in Miami because you have a great view of the water...however, the food at Full Bloom does not compare to ABCV's.

The best part of ABCV was being able to taste the freshness and quality of all of the ingredients in each dish. Without putting an overwhelming amount of spices, oils, or frying, ABCV is able to use simple and flavorful ingredients to curate all of their delicious dishes. My biggest complaint in NYC (other than winter) has always been that I felt food was fresher in Los Angeles, well NOW I can't say I know a restaurant in LA with fresher tasting food than ABCV.

My favorite items on the menu include:
Fried wild rice
Pine nut and lemon dip
Spinach spaghetti
Lentil soup
Green chickpea hummus
Avocado lettuce cups
Beluga lentils
Roasted cauliflower
Coconut sticky rice
Spring vegetable dish on takeout menu

...I basically just named the entire menu. Everything's great and fresh!",False,5,1,3,Tyler B.,en,"{'neg': 0.015, 'neu': 0.727, 'pos': 0.259, 'compound': 0.9979}",0.9979,0.259,0.015,0.727,positive
