,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
213,2015-07-16 00:43:01+00:00,5,"I was excited to try tempura matsui having heard that there is no real tempura in the States.  Short verdict: the whole experience is excellent (even on their first day of serving their true menu!) and elevates the tempura experience to an almost sublime level.  

That said, I'm far from a tempura expert, in fact, I usually eschew fried foods, however, this was light and delicious.  I left without feeling I had eaten a bevy of fried foods for the diet-conscious reader.  

The location is ultra discreet and is adjacent to a hotel (you will see a small curtain outside).  Once you enter, welcoming staff greet you. The crowd is eclectic but trends toward the fine-dining set.  

A wooden counter surrounds the chef station. The chef himself is extremely gracious, always smiling, and orchestrates the show.  He has two attendants and a seeming army of servers.  There are a few intimate booths to the side as well.  The counter seats about 12 people.

This is omakase only and they provide a menu of the night's enjoyments for your salivary effect.  Everything is sparkling clean and super high quality.  Attention to detail is meticulous.  The chef seems to do a magic dance around his hot oil cauldron which is crystal clear and wonderful to behold.  

There are some parallels to high end sushi-yas.  Instead of a rice pot, the chef has a batter bowl (the term escapes me), which looks similar to a vase of Greek antiquity. Instead of the wasabi, ginger, and soy sauce next to your place setting there are special salts, lemons, dashi and grated daikon radish.  The chop sticks and mat are all beautiful and highly lacquered.  There is a little box of toothpicks, because, why not?

I could sing more praises to the environment such as the upbeat front-door vibe (Beatles music!), super high-tech Japanese toilet (greets you by opening upon entering), and the breezily knowledgable head server, but let's get to the food.

1) Sakizuke - this was a sea urchin based dish, and was a very light opening.  Hokkaido uni I noticed
2) Shrimp head - first taste of the tempura.  A little light crisp to get the palette moving
3) Zensai - always love these multifaceted dishes.  Simmered eggplant with bonito flake was sweet, octopus was simmered in sake and had a great texture similar to our old friend Masa-san at 15 east, and the sesame tofu reminded me of mori in Los Angeles if not quite as delicate
4) Chawanmushi - red rice, tai fish and Hokkaido Uni - This was lovely, and one of my favorite egg custards period
5) sashimi course - tai, steamed abalone with abalone liver sauce, and toro.  Everything was very good with real wasabi, fresh shiso leaf, and some good seaweed.  The toro, in particular, was standout
6) Tempura:
- 2 pieces of shrimp (wonderful and light)
- 2 pieces of asparagus (enjoyed these, especially with the dashi sauce)
- seaweed wrapped scallop (a highlight)
- fava beans (surprisingly savory)
- king crab (another highlight, very fresh, juicy)
- trigger fish (hearty)
- maitake mushroom (worked well in tempura, I'd give it a second or two to cool down, as I was one step away from burning my tongue on this one!)
- ginger sprout (strong tasting end, I suppose a nice way to end the tempura with a bang)

This was the end of the individual tempura pieces.  Think of it as served very much in the fashion of a sushi omakase.

7) Hamo (pike eel) with vinegared cucumber and seaweed.  The eel had a plum sauce on it that made it especially standout.  My server told me that this eel is only in season for a couple months.  I loved this palate cleanser

8) Shrimp fritters over rice - served in a traditional Asian bowl.   Delicious sweet brown sauce.  This was served with a red miso soup with clams (loved it), and a small dish of Japanese style pickles (very mild but good crunch).  The fritters were a highlight for many judging by the expressions of pure ecstasy.  The rice was very good, a touch sweet with the sauce, and went oh so well with the shrimp

9) Peach compote - dessert was delectable.  I'm a fan of fruit-based, uncomplicated desserts, so this fit the bill.

A few minor quibble.  Once my water glass was not filled and a junior waiter responded with a 'what's up' when I gestured to him (not in a mean fashion, merely totally oblivious).   This same waiter did not explain one of my dishes.

Overall this was a wonderful experience, and a worthy addition to the NYC dining scene.  In particular, I was struck by the graciousness of the head chef, Matsui-san himself, who made a point to greet all the guests with a handshake on the way out!  I noticed he has very delicate hands and I could see that he has that magic touch and eye for detail, which elevates a great dining experience to a very fine one.",False,9,0,3,David D.,en,"{'neg': 0.022, 'neu': 0.74, 'pos': 0.239, 'compound': 0.9997}",0.9997,0.239,0.022,0.74,positive
212,2015-07-19 02:48:15+00:00,5,"Amazing.  Never knew tempura could be this good. And everything else (sashimi,pickles, etc.) was outstanding. The staff was very polite, warm and friendly! Will definitely come back next time in NYC.",False,2,0,0,Dave M.,en,"{'neg': 0.0, 'neu': 0.487, 'pos': 0.513, 'compound': 0.9782}",0.9782,0.513,0.0,0.487,positive
211,2015-08-04 17:08:27+00:00,4,"Was very excited to try this place and yes the TEMPURA WAS DEFINITELY MAGICAL! It preserved the texture of all the ingredient but enhanced it all with a super light batter so they all have a crispy exterior. You really don't need any dipping sauce to go with every bite, the ingredient really shines. And, nothing is greasy! 

That being said, I wish they serve a menu with just the tempura dishes and nothing else. The appetizers are on par with any nice kaiseki restaurants and definitely build up to the epic-ness of the tempuras. However, the dishes that follow pales in comparison. The Ten-Don which I imagine will be a staple in Tempura establishments had soggy fried shrimp pieces. While the rice is perfectly cooked and I saw the shrimp being fried in front of me minutes before serving, the fact that the rice bowl came covered made the shrimp lost its crispness in the steam.
  
The dessert, peach compote, tasted like canned peaches to me. While i understand people may want a fruit based dessert after a fried food marathon, the peaches are still too sweet to be a palate cleanser and way too underwhelming for a $200 a pop prix fix menu. 

Our waiter, that being his first day and was obviously nervous, never refilled my sake glass with the bottle sitting next to me and forgot to bring the water to my table until we are half way thru the meal. But service is on point for the most part, everyone was super courteous and very accommodating.  

With a little more time ironing out some minor details and perhaps a more approachable pricing structure, Tempura Matsui is definitely a good reason to trek all the way east for its tempura magic.",False,2,0,0,Rebecca L.,en,"{'neg': 0.037, 'neu': 0.764, 'pos': 0.198, 'compound': 0.9955}",0.9955,0.198,0.037,0.764,positive
210,2015-08-12 12:57:57+00:00,5,"The true Japanese Tempura Omakase style experience! Having traveled to Japan on several occasions, the opening of this restaurant in the heart of NYC truly shortens the journey to an amazing dining experience. The ambience, service, food quality, the presentation, nothing falls short of perfection.",False,1,0,0,Alexander M.,en,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.9259}",0.9259,0.248,0.0,0.752,positive
209,2015-08-16 01:32:03+00:00,4,"Ok.  This is a place to have a unique experience (and unless you're rich its a one time experience).  The tempura truly is the best I've ever had.  Here's how you know this tempura isn't like any other.  The coating is very thin and at the end of the tempura part of the meal there are just a few spots of oil on the paper on which the tempura is placed.  Take a look at how much oil is on the plate or paper next time you go to your typical restaurant.

The first thing that you start off in the tempura segment of the meal is the shrimp head.  I don't particularly like shrimp heads.  I've seen Anthony Bourdain suck the brains out of shrimp heads with great relish and pleasure but it's not my cup of tea.  But these were good.  Like little crunchy potato chips with legs.  And at $200 each leg is probably about 5 bucks=)  

I didn't like all the tempura ingredients.  The eggplant was ok and there was some ginger type vegetable that I didn't care for.   But I did appreciate the art and delicate way each one of them was prepared.  We also opted to add a pumpkin and squid which isn't part of the set menu (extra $39!).  The king crab was plump and tasty.

The chawan mushi was excellent and the sashimi as well.

The shrimp tempura on rice was ok, not great.  The shrimp seemed a bit overcooked.  The shrimp tempura appeared to come from the kitchen and not the master chef at the bar.  That may explain it.  

I'll have to agree with most people at $200 a person peach compote doesn't seem like a very appropriate ending.  It was good but not mind blowing.

All in all I'm happy I went but given the prices it will probably only be one time.   Service was exceptional as well as I expected it would be.  The best praise I can give to a fancy restaurant is the following:

1) I didn't leave hungry.  I've left expensive restaurants before only to head to Chinatown for another meal.
2)  I didn't feel queasy or uncomfortable afterwards especially given the fried tempura element of the meal.
3)  While I can't escape the fact that the meal cost a lot of money I wasn't bitter about it (which I have been in the past when I don't feel like I got my moneys worth)",False,2,0,0,Roger L.,en,"{'neg': 0.116, 'neu': 0.723, 'pos': 0.162, 'compound': 0.9649}",0.9649,0.162,0.116,0.723,positive
208,2015-08-23 02:14:22+00:00,5,"Excellent service, dining environment as well as the food were surprisingly pleasant and authentic. Yes, it's a very expensive restaurant but the moment I stepped into I felt like I was in Japan again. Our waitress was very patient and explained everything as well as her recommended ways of eating different kind. The plating was super delicate and the portion was just about right for me. I would say the experience worth the expense. Hope they could have something new for the preset menu when I go next time.",False,0,0,0,Aida C.,en,"{'neg': 0.029, 'neu': 0.642, 'pos': 0.329, 'compound': 0.9822}",0.9822,0.329,0.029,0.642,positive
207,2015-11-05 18:20:38+00:00,2,"The price ($200+) for the kaiseki omakase here is out of touch with reality. Check out the photos to see what was in the tasting. I added the scallop ($15 per piece) and the uni ($15 per piece) to the tasting. My favorites were the shrimp and the uni. Everything except the tempura was a filler course and did not add anything positive to the experience. The tempura was definitely exceptional and not oily, but the ingredients used could have been of much better quality or more exotic appeal. The servce was great, with the server suggesting which salts or sauces to pair with the tempura.",True,1,2,0,Bo B.,en,"{'neg': 0.017, 'neu': 0.867, 'pos': 0.116, 'compound': 0.906}",0.906,0.116,0.017,0.867,positive
206,2015-11-07 01:56:56+00:00,5,"I used to be so jealous of Japanese people as they had Michelin-starred restaurants for tempura, skewers or even sukiyaki. Now after Torishin won its star for skewers, the newly opened Tempura Matsui accomplished a second goal of nailing another star. Well done!

Matsui was very much humble judging from the outside, with only a small icon towards the right. It was also tiny inside. As there were only nine seats at the bar and three booths for small group sitting. Only Kaiseki was provided here - starting with assorted sushi/sashimi, followed by signature tempura, and ending with a shrimp tempura don. I actually enjoyed listening to the sizzling of tempura cooking as it reminded me my dad cooking at home back in China...every single dish was remarkable and among them, my favorite was the uni tempura - rich flavor with light taste.

Our waiter was so attentive that made us even feel like at home. Felt like Matsui definitely worth more than one Michelin star and I'm looking forward to enjoying another meal when it gets upgraded soon!",False,7,2,2,Elaine H.,en,"{'neg': 0.075, 'neu': 0.729, 'pos': 0.196, 'compound': 0.9744}",0.9744,0.196,0.075,0.729,positive
205,2015-12-15 17:13:23+00:00,4,"I was really looking forward to going here when they opened up this past summer and just went here for a birthday to partake in their kaiseki dinner.  First and foremost, they make the best tempura in the city.  The tempura is artfully made such that even though the fried morsels are served on a sheet of paper that paper essentially stays dry.  Though the tempura was the star of the show, the other courses were delicious with beautiful presentations.  The service was top notch with the waiter or the tempura chef describing the dishes and explaining the proper way to enjoy each piece of tempura (you get an assortment of condiments including tempura sauce, lemon juice, miso salt, or rock salt).  The sake selection was top grade as well.

However, given the price point, I'd only come back for an extremely special occasion.  Between the base meal, extra course of tempura, and one bottle of sake between four people was over $300+/person.  There are other omakase/kaiseki experiences throughout the city that I think may be of better value, but the tempura here is unique for New York and the level of service matches the price point.  It was definitely worth the experience. Make sure you get a seat at the bar to watch the chef at work.",False,2,0,0,Adam R.,en,"{'neg': 0.011, 'neu': 0.86, 'pos': 0.13, 'compound': 0.9702}",0.9702,0.13,0.011,0.86,positive
204,2015-12-27 00:46:42+00:00,5,"Matsui is so Japanese style. They keep the original Japanese feeling from decoration, service to the taste of food, everything brings me back to Tokyo in one second. 

Don't worry the food is not enough for you. Even tho they seem like very little pieces, they can stuff you well. However, they balance all the food pretty well. Tempura are very light battered and not very oily, but if you eat like 10 pcs you still taste the greasy. Their tempura sauce is a perfect cure for grease. The Ten-don is so good I finished two bowls (my friend can't finish hers lol). Their dessert is divan!! 

Have to say this place is a bit pricy. Two people for 500 dollars + tip. Not a place that I can come back anytime everytime  when I want to eat their food but I'll come back some time (:",False,3,1,1,Danielle S.,en,"{'neg': 0.072, 'neu': 0.722, 'pos': 0.206, 'compound': 0.9524}",0.9524,0.206,0.072,0.722,positive
