,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
923,2015-09-03 16:51:38+00:00,5,"Get in line now. Excellent bagels and surprisingly even better cookies.

The bagels are on the small side ($2 each) a la a Black Seed and the cookies are on the incredible, super soft and chewy side. Even the Oatmeal Raisin is excellent ($2).

Unfortunately they already were out of he Everything and Everything 2.0, but the Pumpernickel Everything with Salmon and Cream Cheese was perfect ($12).

Also, the Chocolate Babka was incredible ($15). Very different from the current champion Breads Bakery, as this one is coated in chocolate and is a bit fluffier and softer. Definite contender.

I'll be back soon for the rest of the bagels and the full menu once the seating area is open.",True,20,9,16,Mike C.,en
922,2015-09-03 19:43:02+00:00,4,"The Torrisi Brothers are genus, expanding their Italian American comfort into Jewish American classics. Bagels are hot! At the soft opening hot bagels are greeted with hot bagel shout outs by the staff- love it! This is an elegant spot like Kutschers Tribecca was and the bagels are small, crunchy and outstanding! Lox is smoked in house natch- and is delicately flavored.

The baked goods in general looks amaze. Particularly outstanding was the chocolate chip loaf. Perfection! On to my tuna sandy. Did I mention bagels are $2 each-  perfection has a price. The onion bagel elevates this sandwich classic. The tuna itself was pedestrian, but the small crisp bagel took it to a whole other level. Just in time for the Jewish holidays.
 1001 review!",True,5,4,5,Franny A.,en
921,2015-09-04 12:50:45+00:00,5,"It's the second day of business and it already takes an hour minimum from the time you get on line (which will be out the door at 8:30am) to getting your bagel. And it's totally worth it. 

This was actually without a doubt the best bagel I've ever had. They're smaller than the usual bagels but I'm grateful for that because it was just the right amount of food when loaded up with lox and all the other fixings. The lox is amazing. The rugelach is amazing. Everything is amazing. 

The space is huge and super nice. Only negative is they've got some dripping air conditioning vents that you have to watch out for when you're waiting in line, but I'm sure they'll sort that out soon. The staff is incredibly professional and personable; they threw in not 1, not 2, but 3 extra rugelach for me to try. A++

Go for the gold: toasted everything bagel loaded up with lox, cream cheese, onions, and tomatoes. It'll be $12 entirely well spent.",False,1,0,0,Devin S.,en
920,2015-09-04 19:22:28+00:00,3,"** UPDATE
The manager reached out to me apologizing and offered me to come by to skip the line for the bagel done right.

****
For the amount of time I waited for the bagel and money I spent I expected my order to be right.  

Excited by the hype I went this afternoon to grab a bagel. There was line about 15 people long. After waiting roughly 30 minutes to order (yes that's about 2 minutes per person JUST to order) I was pleasantly surprised that my $15 bagel was ready quickly after I placed the order. I got back to my office to discover that my bagel was missing the lox (the main ingredient). So I paid $15 for a bagel that was missing the star ingredient.  I'm furious that I waited and did not receive the right order. I am still waiting for the management to get back to me.",False,9,0,0,Ilana L.,en
919,2015-09-07 17:57:24+00:00,4,"""Hot bagels!""

Every time one of the staff walks up to the counter with a new batch of bagels,  the whole team will shout back to them that catchphrase. And what great bagels they are!

My boyfriend Mike and I heard about the soft opening and decided to try our luck their second day. We arrived close to 9:00am and there was already a line out the door. It seemed short enough, but we ended up waiting about 20 minutes just to order.

Our bounty: An Everything 2.0 bagel with chive cream cheese and house lox, a Salt and Pepper bagel with chive cream cheese and house lox, 3 bagels to go (Everything Pumpernickel, Cinnamon Raisin, Onion), a 1/4 pound of sable, a chocolate babka, a chocolate chip cookie, a chocolate chip loaf slice, a cheese danish and a sticky bun - they ended up throwing in 2 bear claws for us too since we bought so much stuff. 

As other Yelpers have mentioned, they were having pretty severe hiccups which impacted their service. We were told to wait for our pastries on one side of the store and for our bagels on the other side and received an order number to wait for them to call out for. Mike and I split up - him taking the bagel side and I the pastry side. A woman, without calling our number, walked up to another couple and tried to give them a pastry package. The other couple was confused and I went up to the woman asking what it was - she said a chocolate babka. I told her that was ours and all was fine, but I checked the package just in case and it was NOT the chocolate babka, but the other pastries we ordered. She didn't even know what she was handing out.

Cut to 20 minutes later, Mike looks at me across the room and mouths to me if we got all our pastries yet. We were still waiting on the chocolate babka. I went up to the counter and politely asked when the chocolate babka would be ready and the same woman said, ""Oh, it's been sitting right here."" What? Wasn't that supposed to be brought to me? Has it been hanging out there for 20 minutes? There was so much confusion amongst the staff, they didn't even know who to hand things out to or what was being given out. Complete chaos.

Mike finally got our bagels and we left for the park to eat them, only to sit down and see that our bagel package was missing our 3 bagels to go. We went back and the guy on the bagel side he said that any bagels just to go were to be given out on the pastry side, and they were never given to us...We were baffled to say the least.

Once we sat down to try everything, we were SUPER impressed. The bagels themselves are very unique - they have a crunchy exterior and soft interior. I suspected they did not give me the Everything 2.0 bagel because mine did not have caraway or fennel seeds on it, but it was still delicious. The Salt and Pepper bagel was probably my favorite of the bunch - containing bits of black pepper in the dough itself with large crystals of salt on the outside. The house lox is almost creamy, very soft, fresh and flavorful - possibly one of the best cures I've had on salmon. We had the 3 bagels a day later and they held up all right. The Everything Pumpernickel is VERY deep in flavor and I would recommend it to someone who likes Pumpernickel a lot since it is so pronounced. The Onion bagel was lovely, also with several types of onion in the dough throughout. Mike ate the Cinnamon Raisin and told me it was all right. The sable was incredible - it melt in your mouth and was very flavorful.

We purchased the chocolate babka for a dinner party we were having with friends that evening and it was a HIT! People were saying it was the best babka they have ever had. While it was my first time ever having babka, I would definitely purchase it again. This sweet bread pulls apart beautifully and has lovely swirls of chocolate in it - not too bitter, sweet or overpowering. Just perfect. The chocolate ganache spread on top is the pièce de résistance. If you only get one pastry from Sadelle's - GET THIS.

The rest of the items ranged from good to great. I highly recommend the chocolate chip cookie - it was chewy with a soft center and the crust was almost caramel-tasting. I wish I had purchased more of them. I enjoyed the chocolate chip loaf, but Mike was not as big a fan. He liked it more as he ate it, but he felt that the chocolate was too bitter and was best eaten with a glass of milk. The cheese danish was good - almost cheesecake-like. I felt that the Sticky Bun was a little too sweet (my teeth hurt just biting into it), but it also had a very nice caramel taste to it - Mike thought it was fantastic. The only item we were both underwhelmed by were the free bear claws - they were simply okay. 

All in all - we will return once their service improves. We felt that these problems all stemmed from the fact they just opened and are trying to get themselves organized. Mike and I are looking forward to trying their sit down restaurant soon!",False,2,0,0,Mallory B.,en
918,2015-09-07 20:22:38+00:00,4,"Somehow zero line on 'openign day' amidst huge hype and a site listing all prices by the dozen. Solid sesame bagel (untopped), and some tasty cookies, but overpriced beyond belief.

http://gothamist.com/2015/09/15/sadelles_deli_sandwich.php#photo-4",False,1,0,1,George C.,en
917,2015-09-10 14:58:25+00:00,4,"First off, Sadelle's is eventually going to be a hit and a surefire 5-star place. My friend and I went this morning at 8:15am and of course expected a pretty empty place. We were some of the first people to get a table but as soon as we did a crowd came in. Our server was very friendly and accommodating, but seemed a little bit overwhelmed. I'm sure it's just the first couple days and they'll work out the kinks with that. Anyway, we weren't incredibly adventurous so we decided to just try the bagels because we had heard such good things. My friend ordered an Everything 2.0 (everything bagel with fennel and something else I don't remember) with Chive Cream Cheese, Sable and tomatoes. Sadelle's hasn't quite figured out pricing yet so they didn't technically have this as an option...usually bagels with Sable are $25 there but they come with a huge spread, and he just wanted a single bagel. So they did that for him, which was very nice. I ordered a simple Sesame Bagel with Plain Cream Cheese. 

Our orders came, and they do not construct the bagels for you. They gave us the bagels on a stick, and also all the spreads and toppings separately. It's great that you can personalize your own, but I wish they would have given us an option for them to do it. It just feels a little safe for them to not want to risk getting your bagel wrong, but nevermind that--these bagels were amazing. Like in conversation for best in the city amazing. They're much different than your H&H or other popular NY bagels. Super soft and melt in your mouth. Really tasty. We ordered another round. 

All in all, really great place with a lot of potential. Once they get off the ground and don't have the problems of a new place, they'll be just as special as Carbone and the rest of the Major restaurants.",False,2,0,1,John L.,en
916,2015-09-13 21:26:49+00:00,2,"Went downtown this morning especially to pick up some bagels after reading all the hype about this spot this week - was told at the door that they were out of all bagels and wouldn't have any more for an hour.  This was at 10:20 AM on a Sunday morning.  I'm still looking forward to trying this place, and will update this review when I do, but - no bagels at a bagel place on a Sunday morning is a little weird and a little disappointing.",False,5,0,0,Felicity S.,en
915,2015-09-15 07:11:17+00:00,1,"""Hot bagels!""....more like ""NO bagels.""  I went there this weekend and wanted the Everything 2.0 and smoked salmon -- but they had no bagels!  I wasn't about to eat the salmon on some sourdough bread, so...instead I ended up ordering poorly poached eggs, generic potatoes and sourdough bread (it was supposed to come with a bagel...) for about $20.  (Sidenote: How can a restaurant known for its bagels not have any bagels??!) Way over priced! Despite all these mishaps, the experience wasn't a total loss because my server Richard was great! So funny and helpful. But overall, I was very disappointed at Sadelle's and probably won't go again anytime soon.",False,6,1,1,Chrissy H.,en
914,2015-09-15 14:45:17+00:00,4,"I came last Friday around 2pm on the hunt for Chocolate Babka. I'd seen the photos popping up on food blogs so I had to have some. My plan was to share with my coworkers in order to keep my inner fatass in check. When I arrived there wasn't much of a line and the bakery items had been depleted. They only had a few cookies and cakes left. The girl behind the counter told me they sold out of babka at 10am. I guess that teaches me to never go on the Friday before a Jewish holiday. Anyway, they still had some chocolate pecan cookies left so I took 10 back to my team. The girl was sweet in only charging me for 6 since I didn't get any babka. Major points on that. 

The cookies did not last long around my team. They were seriously some of the best cookies I've ever had and they all agreed. The cookies were soft, had the consistency of a brownie, and I swear I tasted a hint of caramel. I'm planning to go back for the babka and this time I'm getting there early! I also can't wait to try brunch.",False,3,3,1,Brittanie M.,en
