,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
792,2016-02-26 04:53:11+00:00,5,"I had the pleasure of dining here on opening night. The decor of the restaurant was elegant and upscale while the dining room had a minimalistic feel. 

The quality of the food was everything I was anticipating from all the reviews I read about the India location. I was quite impressed to see how well the chef was able to incorporate indian spices and sometimes subtle flavors into the different dishes. Dishes like the potato sphere chaat and garlic buttered paneer are the great choices to start with because it packs authentic indian flavors which explode in your mouth. The tamrind sea bass was one of the entrees on the menu which stole the show for me. The fish was prepared and presented very well. 

Overall, I had a great experience. The portions were quite small but that shouldn't come as a surprise considering the location.",False,2,0,0,Sunny G.,en,"{'neg': 0.032, 'neu': 0.841, 'pos': 0.127, 'compound': 0.8828}",0.8828,0.127,0.032,0.841,positive
791,2016-02-26 15:24:26+00:00,5,"Damn. I travel to India a lot, and I love good food. I've been all over the city spending my money on tasting menus instead of clothes/necessities. As far as Indian restaurants - this blows them all out of the water. The game has changed. Flavors were amazing, presentation beautiful. I would go so far as to say it's Michelin restaurant quality.

On opening night you would expect some glitches but everything ran smoothly. Service was excellent, everyone was very knowledgeable about the food and origins of dishes. Impressive.

Cocktail game was absolutely on point. Unique drinks with a lot of flavor.

We ordered every vegetarian dish and they were all excellent. Stuffed kulchas are the stuff of dreams. Portions perfectly sized, not too big, but you will leave satisfied yet not overly full. 

We will be back and can't wait!",False,9,0,8,Ruchita G.,en,"{'neg': 0.019, 'neu': 0.734, 'pos': 0.247, 'compound': 0.9911}",0.9911,0.247,0.019,0.734,positive
790,2016-03-03 16:01:27+00:00,1,"I was very excited to try this restaurant - even at such steep prices - because I LOVE Indian food and I miss India. I was very disappointed. Every dish tasted like it was spiced the same (including the paneer) - a muddy mix of too much sauce / lacking freshness - although the presentation of food was lovely, there was no subtlety to the dishes - I did not finish a single dish though my companion liked their chicken - the inclusion of pork on the menu seemed very strange for a restaurant representative of New Delhi - I had a drink without alcohol which tasted like a strawberry milkshake though the waiter described its ingredients in exotic terms - I don't advise spending that much money on Indian food you could get many places in New York with more taste variation, less $$$$ and less pomposity which, for me, becomes annoying after a certain point. The service was very good - all had precise knowledge of ingredients which were obscure on menu - less mystery on menu would have made ordering less labor intensive though we have no plans to go back and will not recommend to friends.",False,0,5,0,Eva N.,en,"{'neg': 0.111, 'neu': 0.771, 'pos': 0.118, 'compound': 0.3546}",0.3546,0.118,0.111,0.771,positive
789,2016-03-04 04:09:42+00:00,5,"After dining at the Indian Accent in New Delhi, our level of expectation for the newly opened Indian Accent at Le Parker Meridien was set very high. We were able to snag a reservation during opening week, and Chef Manish Mehrotra did not disappoint! The food, the service and the experience were all top notch. Contemporary Indian cuisine has finally arrived in NYC!

Our wait-staff was extremely courteous and supremely helpful during the entire dining experience. Helping with drink selections, explaining each course in detail, and even bringing a portable charger to charge our cell phone table side!  One of the servers overheard us raving about a chur-chur parantha and brought an extra one for our table, and the chef checked in on us a couple of times and made sure we were having a good time. 

The tasting menu unfortunately was not available during the first week, so we decided to opt for the 3 course prix-fixe.  We thought we would maybe order a dessert to share at the end, but we ended up being too full to get anything- i guess we needed to save something for next time!. 

All the dishes we tried were excellent, and well thought out. Our favorites in the first course were the Soy Keema, the Sweet Pickle Rib and the Duck Chettinad. Our second course favorites were the sweet potato and the kohlapuri chicken. By the time third course came around, we were fairly full, the tamarind sea bass and the dal ghost were amazing (the chicken seekh being the only average dish of the night). 

Of the accompaniments, the lamb and daal were good.  The butter chicken kulcha was definitely overpriced ($14 dollars for one piece of bread that was maybe 5 inches in diameter), but was delicious and probably one of our favorites of the night.  However, at that price point you expect more than what was given. 

We thoroughly enjoyed dining at Indian Accent and we will definitely be back!",False,2,0,0,Jatin A.,en,"{'neg': 0.044, 'neu': 0.75, 'pos': 0.206, 'compound': 0.9963}",0.9963,0.206,0.044,0.75,positive
788,2016-03-04 04:47:21+00:00,5,"Went for dinner today to celebrate my wife's birthday . I have been wondering why don't NYC has a indian restaurant with some twist . Finally we have one .

Service : excellent they pay attention to you all the time .. My first dish took long time to come and I would have given one star less for that . But they didn't charge us for my wife's desert ( instead of 4 course they charged us 3 course ) so that made up for that one star .

But once the food arrived .. It was all good .. From first to fourth wait time was not long .

Dishes are full of flavor . And presentation is excellent .

Four course is filling also . We were  so stuffed that we decided to walk in the clod instead of taking a cab .

Drinks are fabulous .. It has indian hint to it . We tried 2 cocktails both were amazing .

Lots of vegetarian options ..big plus for us ..

In the end doda burfi and besan ka laddo cheesecake gives a memorable finish to awesome dinner .

We will be back soon .",False,2,0,0,Amit L.,en,"{'neg': 0.087, 'neu': 0.774, 'pos': 0.14, 'compound': 0.9194}",0.9194,0.14,0.087,0.774,positive
787,2016-03-04 06:42:21+00:00,5,"Hands down the best Indian restaurant in the city, for both Indians and non Indians.

We had come here on the first week of their opening. Their New York location is their second after Delhi. We had the fortune of running into the owners themselves who so graciously walked us through the menu and how they came up with it.

Our favorite appetizers were - the duck chettinad (excellent), and the pickle rib

Our favorite main courses - the tamarind sea bass and the dal gohst (excellent)

Our favorite desserts - doda barfi treacle tart and the makhan malai (both excellent)

The cocktail we got tasted beautiful. We also received delicious complimentary blue cheese naan and pumpkin shorba.

All the food was amazing. The décor was great. In the end we even met Chef Mehrotra, and he was one of the most humble people ever. Will definitely get a Michelin star soon!",False,3,0,2,Debarghya D.,en,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.9924}",0.9924,0.235,0.0,0.765,positive
786,2016-03-04 12:35:53+00:00,1,"Terrible expereince. On a cold day in the city reached the restaurant few minutes before opening, Hostess was ready to seat us, when she decided to ask ""The Boss"", who told us to come later....Ooops , not going there again.. NY City has Many, Many, Many Options... Good Bye Indian Accent",False,0,4,0,Feroz S.,en,"{'neg': 0.107, 'neu': 0.773, 'pos': 0.12, 'compound': -0.0772}",-0.0772,0.12,0.107,0.773,negative
785,2016-03-08 15:25:56+00:00,5,"Granted I am not an expert but this was so clearly the best indian food i have ever had.  As my friends who were with me and are experts said, this is the best indian food they have ever had outside of India.  

So inventive, so delicious, every bite was bursting with spice, the right amount of heat and truly almost perfect.  We had the tasting menu, which was terrific as it took us through a journey that the chef planned for us.  There was not a miss amongst the many small courses we have.  The waitress, who was truly fantastic and so knowledgeable and friendly laughed at me because every time she came over i bursted out ""ok ok that one was my favorite!!!!""  Ha!  The best of the best of the best to me was  the Duck Chetinand.  When you go there make sure to order that or order ten of that! It was possibly the best bite of food i have ever had. I will dream of that before the next time i go back... Can you tell i am excited. Honestly all of the food was a hit.  The chef even came out and said hi.  What a lovely, humble genius of a man.  

Bravo Chef and the staff of Indian Accent, you have a sure fire hit that should be here for many many years!  Thank you.",False,3,1,2,Ed F.,en,"{'neg': 0.068, 'neu': 0.567, 'pos': 0.366, 'compound': 0.9988}",0.9988,0.366,0.068,0.567,positive
784,2016-03-08 15:56:20+00:00,5,"What can I say? This is Indian Food like you have NEVER experienced it. The flavors of Indian cuisine, (northern, southern, traditional, homecooked) presented in the most beautiful dishes I have seen. One of our party had had Indian food twice in his life and came in expecting to be disappointed- he left the restaurant a convert! The inventive Kulcha's are delicious, the seabass is the best I have ever had. Service was delightful and attentive, a well curated wine list and very inventive cocktails (try the trenscendental medication!) round up the experience. I cannot wait to go back. Oh, I forgot to mention the treacle tart for dessert! Don't miss that one!",False,2,0,0,Sylvie F.,en,"{'neg': 0.037, 'neu': 0.696, 'pos': 0.267, 'compound': 0.9855}",0.9855,0.267,0.037,0.696,positive
783,2016-03-08 18:44:08+00:00,4,"Up-scale Indian. The service is excellent, with very personable and fun staff. The manager and chef both make the effort to check in on you which is appreciated. The décor is nice and you will have to make a bit of an effort in how you dress for your visit, but nothing you would not expect in most restaurants in Manhattan. The dishes ranged from good to excellent, but you are paying for it and then some. If you are passionate about Indian food, then definitely check this place out, it is a positive experience for fans of the cuisine.",False,6,3,5,David E.,en,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.9843}",0.9843,0.256,0.0,0.744,positive
