,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
691,2013-06-24 15:51:06+00:00,4,"Stumbling upon a chance dinner at newly opened restaurant Estela was a little like falling into the arms of Don Draper. The unmarked doorway and dark, chic surroundings were mysterious and intriguing, much like the tall, dark and handsome stranger himself. 

Engaging with Estela through its food further perpetuated the mystery, as the flavors revealed little about its culinary origins. Blood sausage croquettes pointed to Spanish, yet Virginia ham was undeniably American. And there were times when I even tasted some Asian flavors. My takeaway was that Estela has no definitive roots and has instead embraced the culinary influences of the multiple cultures it has come into contact with. This absence of a definitive past shouldn't matter, because, like Don's work, the food speaks for itself.

The food is served tapas style to encourage sharing of many dishes, with sizes increasing further down the menu. We decided to order several small plates, including the raw scallops with citrus and bronze fennel, the trout with fava, yuzu, and horseradish, and the egg with gigante beans and cured tuna, as well as a larger dish of the pork with carrots, Marcona almonds, and dandelion greens.

This was one of those rare dinner moments where every single dish that came out was truly well-executed. There were no hit-or-miss inconsistencies here. The ingredients used in each dish were minimal but to the point. I did notice that there was a common thread of utilizing citrus flavors to bring some lightness to the food.

For instance, the raw scallops were reminiscent of the sashimi yuzu appetizers that are staples at Japanese restaurants, yet the fennel and red pepper accents threw you for a loop so that the dish couldn't completely claim Asian origins.

The trout similarly had that Asian quality with its yuzu seasoning, but the fresh and seasonal fava beans and peas seemed very American farmers' market to me. I thought the wispy ribbons of horseradish were a pretty brilliant and unique way of imparting some spice to a dish.  

The egg with gigante beans and cured tuna was my favorite out of the small plates. I loved the warm and savory broth, and the combination of eggs, chunky beans and tuna was a highly satisfying and hearty one. 

I normally don't seek out pork at a restaurant, because I find that it usually ends up occupying two extreme ends of the spectrum--dry, tasteless pork chop loins or extremely fatty, heavy belly pieces. The pork at Estela occupies a happy medium between the two. The meat was lovely and tender and rimmed with just a touch of fattiness to provide rich, juicy flavor. 

Desserts can be an afterthought at many places, but that wasn't the case here. I thought the chocolate sherbet thoughtfully showcased its main ingredient in all sorts of lovely ways. The icy sherbet scoop and the crunchiness of the hazelnuts and coffee beans were extremely fun to eat.

Estela currently enjoys a somewhat anonymous existence in its unmarked address on E. Houston, but this won't last for long. It'll be in your best interest to drop by for a walk-in during its low-key phase before favorable word-of-mouth makes it impossible to score a table. I'm hoping to sneak in another order of the pork as well as the ricotta dumplings and anchovies on my next visit, hopefully before the onslaught of diners crowd me out because they want a piece of Estela's globetrotting cuisine for themselves.",False,1,1,1,Sherry J.,en
690,2013-06-26 23:26:07+00:00,5,"I know how much it costs to order 90% of the menu here.
At once.
A lot.
And oddly, I don't feel that morning-after-I-just bruised my credit card sadness that I have experienced in the past. 
Oh sure, my baggy dress is tighter and my wallet... well lighter.
But I would go back (Truth be told, I already have plans to).

So without further adieu:
A gracious elegant/organic/slightly industrial redo of the Nolita House space with Former Isa mega-talent Ignacio Mattos in the chef toque has landed on Houston. When I walked in, it was packed. I was seated on an oddly comfortable window seat, teeny tiny glass of white wine at my side waiting for my friends. As they trickled in we grabbed a super tiny table in a tinier corner and eye balled the menu.

Pickle plate. Yes please. Beef tartar. Yes. Cured tuna with gigante beans and egg. Olli's Ham plate. Lettuce with Tahini. Burrata with lovage. Trout with Fava and horseradish. Raw scallops with bronze fennel. Calamari with romesco. Pork with Carrots.

Yes, yes and yes. (okay Meg Ryan... I'll shut up).
I have two words for you: AMAZE BALLS.

The best beef tartar of all time. Sunchokes? Pickled Elderberry? Really.
The pork was perfectly cooked. The Lettuce (with tahini and sunflower seeds)... as my friend said, ""Even their sunflower seeds are REALLY good"", could make me a salad eater. I could have eaten 10 plates of Olli's ham which was magic pork surrounded by melt in your mouth lardo. The calamari was unadulterated brilliance. The service, attentive. My only sadness was that white wines came in a super tiny glass... I like a larger glass. But really? If that's is my only criticism, as my mother would say, ""Stop your whining."" 

I can't say enough about this place. And so I will stop. (But hope to be a regular there). Just save me a seat, okay?",False,5,2,1,Courtney P.,en
689,2013-07-02 14:00:51+00:00,2,"I really REALLY wanted to love this place. I've heard and read raving reviews so my foodie gf and I had to check it out. We went on a Friday night around 8pm which was crowded but not over the top. 

We had some cocktails at the bar area which was lovely then seated for a dinner service. I had the de la lousiana, which was like a manhattan for all you whiskey drinkers out there. We enjoyed the drinks then had 3 appetizers and a main course to share.

Raw scallops- one big scallop sliced into 4 thin slices. Mind you, I LOVE raw scallops. I often order it from other restaurants so I've had high expectations. When the plate arrived, there were thin slices of raw scallops with tangerines and dill on top. Honestly it wasn't worth the money and I didn't see any wow factor in this dish. The sweet tangerines with raw scallops didn't compliment each other and I didn't think it was anything special. I would've enjoyed it more if it was with something more acidy.

Burrata cheese - A big chunk of burrata cheese with sliced radishes on top. Again, no wow factor here. It was just mediocre.

Beef tartare - Probably the best dish we've had through the evening (Yes, it was yummy but wasn't the best beef tartare I've ever had before). The crispy sun chokes added a lot of texture which I appreciated but again, wasn't the best tartare I've had in NYC.

Ricotta dumplings - A huge disappointment. Don't except actual dumplings. It was more like a bite sized cut up ricotta cheese smothered in butter, fava beans and edamame. For $22, I would've expected more.

Overall, great cocktails but disappointed in the food section. Would I come back again? Maybe, maybe not. I hope to come back to try other things!",False,1,0,1,Jaime A.,en
688,2013-07-10 14:57:13+00:00,4,"Salami ***
great from dipalo's

peas and fava beans ***** 
with creme fraiche, horseradish, peashoot sauce.  best dish of the night.
 
raw scallop ****
with grapefruit and bronze fennel and red pepper accents.  almost a cervice like - great summer dish

razor clams ****
with toasted garlic slices and chilli flakes, lemon juice.  too much lemon juice but still a great dish

Steak **
Too much going on.  Wagyu beef was great, but there was peppercorn, barley, eggplant, anchovy, greens.  too many tastes going on.

Dessert **
lacking in choice. only pana cotta and sorbet.  yogurt sorbet was good.",False,1,0,0,Mike A.,en
687,2013-07-27 03:54:01+00:00,2,"I wanted to like it here, but was disappointed. The bar, which is quite lovely is so big, compared to the size of the front of the restaurant. I felt very closed in, while waiting up front for our table.  

The waitstaff was nice, but the bartender seemed indifferent to us.

The food was mixed, some dishes were good, but some were just ok.  Overall I found it fair, but I think I should downgrade that to disappointing, based on the fact that dinner was expensive.   You could definitely get a better meal for less in a lot of other restaurants.

We ordered a number of dishes off the menu, here are the ones I remember...olives were good, burrata- yummy, raw scallop-disappointing...i tasted the citrus but not the scallop...  kohlrabi bland...baked cod-- fair...ricotta dumplings nice...calimari--good.

It has only been opened a short time, so maybe I would go back again to give it another chance, but not really sure at this point. :  (",False,1,0,0,Susan K.,en
686,2013-08-05 18:55:10+00:00,5,"Amazing new place! Tried many dishes and everything was excellent.  The ricotta dumplings were phenomenal, the zucchini and hazelnut salad was delicious and the tomato and melon salad had the best honeydew I've ever tasted.  Panna cotta was perfect too.",False,2,0,0,Margaret S.,en
685,2013-08-05 21:25:53+00:00,3,"I liked this place - we had been there before it was Estela and I like what they did to the space. 

Blood sausage croquettes were very good, as was the mixed greens salad. I found the calamari a la plancha a little chewy but overall good.

The quail was the ""BIG"" surprise. It apparently comes with the head and one claw attached...perhaps a little too farm to table for me. I wish we had been warned as I would not have ordered it. (See photo)

The panna cotta was delicious. 

Overall a fun place but I probably wouldn't go out of my way to eat there. Maybe for a drink and quick snack if I'm in the area.",False,0,0,0,Maja J.,en
684,2013-08-07 14:32:14+00:00,3,"Food was great; the insane sound level ruined the experience. Too bad!
I would recommend trying to find a time either earlier in the evening or possibly lunch (if they serve it).",False,0,0,0,Karen S.,en
683,2013-08-16 05:31:47+00:00,5,"I went back to Estella to see if I would get the same amazing service and food. It was even better. Every dish is so different in a way that you want it all. The squid with ink was tender and so tasteful . All the main dishes are a symphony of flavors exploding in your mouth. No joke!! They have 3 desserts that you lose by picking any one of them.  Love this place, man",False,3,0,0,Robert L.,en
682,2013-08-18 01:04:27+00:00,5,"Stellar food. Light and simple but fresh and perfectly executed. I had the kohlrabi -- wonderful combination of that delicious vegetable and fragrant hazelnuts. The cod was similarly excellent, extremely simple but marvelously springy and tender. Very few additional flavors, making it suitable for true cod lovers.

Complimentary bread was superb. As were the desserts, which reflecting the style of the place were not overly decadent but rather light and sophisticated. The panna cotta, with a lovely shock of salt, was the standout here. 

Service -- Nori (?), I believe -- was wonderful. All in all a fantastic experience.",False,2,0,0,Arieh S.,en
681,2013-08-20 18:01:21+00:00,3,"Pros:
- Some excellent dishes
- Nicely decorated space
- Friendly wait staff

Cons:
- A lot of the plates aren't shareable
- Horrible acoustics, loud and hard to hear each other
- Some of the dishes were bland

I really wanted to like Estela - it sounded like a great place and a lot of the dishes on the menu were interesting. i went here on a Monday night with 5 friends and we were told by the waiter that for our group size we should order 7 or 8 of the medium plates and 3 entrees to share. We took his adivce and found a few standouts (burrata, calamari, mussels and beef tartare) and some dishes that were definite passes [spigarello (very bitter), quail (bland, no figs in sight and impossible to share), riccotta dumplings (nothing special) and egg with beans (how do you share a poached egg between 6 people?)]. I will mention that the portions are SMALL. After that many dishes we all agreed we would need to pick up a slice on the way home to actually feel full.

Overall, the food was pretty good but the few bland dishes, the unshareable plates (which is odd for a restaurant that is designed for people to share), the small portions and the horrible acoustics lead to my rating. This would be a terrible place for a first date because you would not really be able to hear  each other and, unless you know the person well, it is uncomfortable sharing some of these dishes since your used forks get everywhere in there and you need to use your hands.",False,2,0,0,Kristi B.,en
680,2013-08-24 22:03:32+00:00,5,"Mad for the atmosphere and the amazing small plates. a resident of UES, don't always get downtown to try the newest hotspots but read about Estela in the all the press --  new yorker, etc. --  and decided to make the trek, and well worth it! i''l be BAAAACKKKKK!!!",False,0,0,0,susan n.,en
679,2013-08-30 03:26:29+00:00,4,"It is dark and nicely decorated but people next table were way too loud......

Came here after long day at work, by myself. Around 9pm on a Thur, this place was packed. Snagged the last table in the corner. Lucky me! Promptly, I was handed a menu with wine list at the back. All small plates with four bigger plates options. Great! Ordered a glass of German reisling, grilled calamari and mussels a la pancha. Just sat and chilled. While i was sipping my wine, I could not help but drawing attention to the middle age female bankers sitting at the table next to me. They just talked way too loud. I was really annoyed. Literally, I was forced to listen to all their whining....Please, I don't need live Bloomberg TV while I am trying to relax. Quiet!. In between all those money talk, my food arrived. The mussels escabeche on toast were four cute little pieces creatures - juicy and tender mussels lied on top of a creamy sauce and crisp toast. Perfect snack to go with my reisling. The grilled calamari with caramelized onion and romesco. Oh the calamari was perfectly charred and not chewy at all. The romesco was blended in cashews and it serve sort of palate cleaner in between my bites of calamari. it was so good. 

All in all, I like my dinner here - service was decent, food was good and light, nice wine selection also. The only complaint is the noise level. I may think twice before I come here next time when I just want some peacefulness and relax with a glass of good wine.",False,1,1,1,Nomad M.,en
