,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
1205,2014-05-08 01:02:35+00:00,4,"At last, now we can get the delicious food from Russ & Daughters in a nice, comfortable sit-down restaurant without the endless, cramped, tourist-ridden waits that plague the original location.

The leisurely meal I had tonight in the only semi-busy restaurant might not last long though, as not only is the food here great, but it is also opening at the perfect time to capitalize on the current exploding popularity of bagels. We did try a bagel as part of one of the dishes, but knowing that they aren't the strong suit of Russ & Daughter's, we ordered a ton of other stuff instead:

- Bread Basket ($6)
This was really great, and worth the purchase. They give you a ton of bread, with 3 hearty slices each of rye and pumpernickel. They were nice and warm and tasted really great with some butter. They also have a Bagel & Bialy Basket for the same price.

- Potato Latkes with Salmon Roe and Creme Fraiche ($9 for 3)
These were really great, and especially incredible when eaten with the generous portion of salty salmon roe. Don't tell my mom, but I think these might beat hers.

- Russ & Daughters Knishes ($8 for 2)
These were minuscule, and not particularly good. The skin wasn't flaky enough and the potatoes weren't buttery enough on the inside. If you haven't had a really exemplary knish to compare it to though, it tastes pretty good when paired with the mustard.

- Matzo Brei ($12)
Listed under the ""Eggs"" section of the menu, this was pretty good. It was probably a little lacking in flavor since it is after all made mostly of matzo. Most of the other egg dishes look better, like the Benedict, but we went with this smaller one since we had so much other food.

- Pastrami Russ ($10)
This is a little sandwich on a tiny pretzel roll with a ton of flavor. Along with the great pastrami-cured salmon, there is muenster cheese, sauerkraut, mustard and pickled, making for a really delicious starter-sized sandwich.

- The Classic Board ($16)
This is pretty much a create-your-own-bagel-with-lox. Rather than ordering a sandwich, this is all of the ingredients of the classic bagel sandwich laid out on a board. As mentioned above, the bagels here aren't really great, but they're passable and are perfectly fine as a vehicle for the incredible gaspe nova smoked salmon. You can also add capers, tomatoes, onions and cream cheese for a really satisfying sandwich.

- Chocolate Egg Cream ($7)
I just don't get egg creams. This one was better than some I've had, but I can't get behind the fizziness with my chocolate. You can also get Buxar and Vanilla flavors, but I would prefer a shake.

- Babka French Toast ($10)
On to the Sweet section of the menu, which was the best part. This was incredible - made from chocolate babka, this dessert came out piping hot. It was so soft and fluffy and packed with chocolate. It came with some strawberries on the side, but to really enjoy it, you must order it with:

- Halvah Ice Cream ($8)
Wow! Sure, $8 for a scoop of ice cream is shocking, but not as shocking as how amazing it tasted. Seriously, you must get a scoop of this for dessert. Be smart and get it with the Babka French Toast too, for the ultimate hot and cold combination.

The service was ok, but perhaps the opposite of Jewish waiters, as we often waited a bit for service. However, everything felt much smoother than you would expect from a restaurant on opening night, and they already felt like pros that have been open for awhile. The food was mostly really great, and I would definitely love to return to try some more of the extensive menu of noshed and delicious smoked fish boards. Oh, and the Challah Bread Pudding sounds ridiculously good. With a scoop of Halvah Ice Cream of course.",True,27,8,11,Mike C.,en,"{'neg': 0.073, 'neu': 0.705, 'pos': 0.222, 'compound': 0.9991}",0.9991,0.222,0.073,0.705,positive
1204,2014-05-08 14:43:56+00:00,4,"Russ and Daughters Cafe opened yesterday (May 7, 2014) and I imagine it will quickly achieve the popularity of its legendary space a few blocks away. This outpost is a real, sit-down restaurant that manages to be both retro and modern: diner-style seating with a white-tiled, vintage photo walled, hip-typeface atmosphere. 

Many people have complained that Russ and Daughters and become much too expensive, and this cafe certainly doesn't do anything to disprove that. There's a $180 caviar omelette on the menu, and most of the egg/fish based dishes are in the $15-25 range, which, to me, is a lot for breakfast food. However, you are getting expertly cured fishes and thoughtfully planned combinations. Lots of bagels and bialys, a nice selection of sandwiches, platters, and brunch standbys like eggs Benedict, challah French toast, bread puddings, etc. all of these dishes have a little Jewish-American comfort food twist. I had a small dish that highlighted some of their fish salad and schmear, and it was delicious. 

A big plus here is that there is an extensive drinks menu with wine, beer, shrubs, breakfast beverages, and some top notch Bloody Marys. I can really see this cafe becoming a brunch hotspot soon. 

I think they're still working out service and operations, but the staff was friendly and attentive. The space is pretty big, and the menu has options for everyone, whether you're a carb-loader or gluten abstainer. 

This cafe, once a twinkle in the LES' eye, is another sign of the hipsterification of Orchard Street. But, it was about time that Russ and Daughters expanded to accommodate their growing fanbase.",True,5,1,3,Natasha G.,en,"{'neg': 0.041, 'neu': 0.829, 'pos': 0.13, 'compound': 0.9753}",0.9753,0.13,0.041,0.829,positive
1203,2014-05-10 15:07:45+00:00,5,"Great space, the food was awesome, and the service was excellent.  We tried both kinds of potato latkes, the chopped liver, a few of the soups and the original bagel with lox-- all delicious.  We followed it up with the bread pudding, halvah ice cream, and the blintz-- which were all so good.  The martini was great and they make house made sodas which I really enjoyed.  We came with an infant and had plenty of room to move around with her when she became a little fussy and they actually had a changing table in one of the bathrooms which I really appreciated.  The design is one that gives you that modern old diner feel.  We were excited when we heard the restaurant was opening and it definitely exceeded our expectations.",False,3,0,2,Sarah L.,en,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.9931}",0.9931,0.28,0.0,0.72,positive
1202,2014-05-11 13:11:45+00:00,5,"This place has an amazing menu. You can get all your favorites from the original Russ and Daughters or some classic comfort food. The soups are incredible; the fish is as wonderful as you expect; plus, there are Jewish classics (matzo brei!) that remind of childhood.",False,2,0,2,Alicia K.,en,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.937}",0.937,0.273,0.0,0.727,positive
1201,2014-05-13 17:12:59+00:00,5,"We were so happy that R&D were opening a cafe, but couldn't imagine it would be as amazing as it is.  It looks and feels like the store, and somehow even more fabulous, because you get to linger longer.  Really good cocktails, METAL straws (I love them for this, thank you for not wasting plastic!), delicious food, lovely bar staff (we sat at the bar), great jazz was playing.... I was smiling the whole time I was there, felt welcomed and comfortable.  Loved the artwork on the walls - ink sketches of the store staff and other iconic Russ and Daughters ""stuff"" AND the bathrooms - even those are so tasteful.  The wallpaper made me think of a Mast Brothers chocolate bar wrapper - and that's classy!  I will be back, again and again.... I think this one's gonna be here a while.  
Congrats Niki and Josh....",False,3,2,3,Sacha J.,en,"{'neg': 0.038, 'neu': 0.601, 'pos': 0.36, 'compound': 0.9969}",0.9969,0.36,0.038,0.601,positive
1200,2014-05-15 02:39:49+00:00,2,"As a fan of the original, I went last week to give this place a try, here are my thoughts:

The space is nice, but I think I will stick to the original and the street bench in front.  I don't mind paying top dollar for quality smoked fish, but it really is obscene, or more aptly put, a lot of chutzpah, to charge $7 for an egg cream!  Let's think about this for a second, there are only 3 ingredients in an egg cream: cold milk, Fox's U-Bet syrup, and seltzer...being generous, assuming they use organic milk (which they don't) I would say these ingredients cost them fifty cents at most.  Yes, the nova was great, but as I ate, I could not help but feel like I was being taken advantage of with our $7 egg cream and $5 soda.  

After my experience here, based on their prices, it is my impression that R&Ds, a treasure from the past, is now primarily catering to the 1% or at least not the folks being priced out of the neighborhood.  Sad.  I don't think I will be back.",False,14,5,4,David Z.,en,"{'neg': 0.101, 'neu': 0.74, 'pos': 0.159, 'compound': 0.8418}",0.8418,0.159,0.101,0.74,positive
1199,2014-05-18 06:55:44+00:00,2,"It's a great-looking restaurant, and pleasant to sit in (no horrible loud music). The chopped salad and the smoked trout and potato salad were both wildly tasty. But the serving sizes for both salads were also skimpy, and at $14 each! We went away still hungry. Would it kill them to add more salad greens or cucumbers? Charging $7 for a bread ""basket,"" too, rather than including a roll or slice of pumpernickel with the salads also struck us as grasping. And we were almost finished with our salads by the time the bread arrived, since it had to be toasted, the waiter said. R & D should review its menus and pricing, and emulate restaurants with a more generous spirit, like Chez Oskar in Brooklyn, for one. One doesn't long to return to a restaurant that makes it so clear that it's all about offering the bare minimum while extracting maximum profit.",False,6,0,1,C W.,en,"{'neg': 0.091, 'neu': 0.738, 'pos': 0.171, 'compound': 0.9278}",0.9278,0.171,0.091,0.738,positive
1198,2014-05-19 12:51:25+00:00,5,"It felt as if Doc Brown and I had stepped out of the Delorean, and into 1955. This place has been set dressed to invoke a much earlier era, and it was meticulously done. 

Service was excellent, food was exquisite.

Started with the pastrami russ, amazing I think I could eat 5 of them. 

Then I had the Lower Sunny, yum perfect amount of food, and was a nice sampler. My boyfriend got the eggs benedict, with challah it was amazing. 

All around I can find no downside, this was one of the most enjoyable dining experiences I have had in a while.

Put your name down, take a walk they will text you when your table is read.",False,4,0,1,Danielle C.,en,"{'neg': 0.05, 'neu': 0.764, 'pos': 0.186, 'compound': 0.9606}",0.9606,0.186,0.05,0.764,positive
1197,2014-05-24 00:59:11+00:00,1,"Very disappointed! We walked by only days after they opened and got very excited about having yet another great place on LES. We normally go several times a month to the original Russ & Daughters and Pravda to fulfill our cravings for pickled herring and caviar so obviously we were very excited. But after dining at the Russ & Daughters Restaurant I can only say, Never Again.. This place is overpriced and you basically get deli sliced smoked fish for $90 without anything else. Don't go!!!!!",False,5,0,0,Jesper C.,en,"{'neg': 0.131, 'neu': 0.768, 'pos': 0.101, 'compound': -0.839}",-0.839,0.101,0.131,0.768,negative
1196,2014-05-26 01:45:02+00:00,5,"The Russ family has done a masterful job recreating the old world feel of the store with modern levels of comfort and service. From the shape of the water jugs to the white coated staff, surfaces, menu items, font styles etc. there was clearly a lot of effort put into the details and I can't imagine a much better job. I sat at the bar and found the wait staff charming and efficient. I get the complaints about small portions and high prices, but this is NYC people, and its top quality stuff. Had the nova eggs and onions and an order of latkes. Loved both. Will be back often.

Bottom line: I can see this place being a LES staple for decades to come, like the store is. In fact, I wouldn't be surprised if they opened more of these. I know if owned this place, I would.",False,2,1,2,Brad G.,en,"{'neg': 0.065, 'neu': 0.797, 'pos': 0.137, 'compound': 0.9052}",0.9052,0.137,0.065,0.797,positive
