,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
146,2015-07-14 23:00:52+00:00,4,"Nice new addition to the northwest corner of TriBeCa. Comfortable butcher block tables, nice clean space, attentive staff simple good food. 

The menu changes daily, in part, to reflect the weather. Menu has some fancy meat dishes (rack of lamb), burgers (excellent) and salads. Lots of small dishes. 

Long wine list and craft beers. 

Very comfortable and tasty.",False,0,0,0,michael b.,en,"{'neg': 0.13, 'neu': 0.512, 'pos': 0.358, 'compound': 0.9718}",0.9718,0.358,0.13,0.512,positive
145,2015-07-21 16:33:02+00:00,5,"I'm excited to be one of the first people to review this place!

Short Version:
The food was fantastic and the waitstaff and bartender were very attentive and friendly.  I will gladly come here again.
I'll detail some of my favorite food below, but since the menu changes everyday, it might not be worth too much detail.

Long Version:
So we had a reservation here through OpenTable on July 4th.  Unfortunately, Houseman hadn't updated their OpenTable Holiday schedule.  So, on the 3rd, we got a call that we wouldn't be able to dine at Houseman on the 4th because they were closed.  This was a little annoying, but an understandable mistake for a new restaurant.

I arrived a little earlier than my family, and was sat at the bar to hang out until the rest of them arrived.  The bartender discussed beer with me for probably a full 5 minutes until he figured out what I might like, and then made a recommendation which I gladly accepted.  The beer was delicious.  They don't have a huge beer menu but had some very interesting and delicious beers from Maine, as well as Japan.  The bartender recommended one of the Japanese beers and I loved it!  My aunt and I tried the Maine beers with dinner and they were also delicious.  A+ job Mr. Bartender.

When the rest of my family arrived, the waitstaff greeted my aunt (who had made the original reservation) very warmly and sat us down in a very nice table.  One thing that stuck out to me is how scattered all the patrons were -- in most restaurants, the waitstaff clumps everyone together in order to make everyone's job easier.  Here, they seemed more concerned with your ability to have a conversation.

When our waitress came around for drinks, she informed us that our first round was on the house because of the mix-up on the 4th.  Being from New York, we were all pleasantly surprised with such hospitality.  Then, to top it all off, the owner/chef came out in his kitchen garb and thanked us for putting up with their nonsense and for giving Houseman a second chance.  All very nice.

Onto the food...
We started with the Bread/Butter, Fried Fava Beans, Pickles/Olives/Cheese, Spicy Seafood Salad, and the Fried Green Tomatoes (Special).  
The Bread and Butter was fine, but not worth the money in my opinion.
The Fried Fava Beans were delicious and I found myself craving them throughout the night (I love a little salt after a meal).
The Pickles/Olives/Cheese was very enjoyable and yummy.
The Spicy Seafood Salad was fantastic!  You get a plate of shrimp and squid with crushed almonds served in a nice vinaigrette.  This really was delicious (if you like shrimp and squid).
The Fried Green Tomatoes were the favorite of the starters.  They were very crispy and were served over some delicious herb aioli whose ingredients I forget.  It was also served with some purslane which was soooo fresh and delicious.

For the Entrees, we shared and got 2 Houseman Burgers, the Swordfish, the Pork Sausage, and the Chicken.
The Burgers were very good.  Not too big but not too small and served with swiss and caramelized onions.  The fries that accompanied the burger were also great and so crispy.
The Swordfish was probably our least favorite entree of the crew, but everyone still enjoyed it.  I personally enjoyed the stewed vegetables the swordfish was served over more than the actual fish itself, but the fish did have a very nice flavor to it.
The Pork Sausage was my personal favorite, but not the consensus favorite.  It was served with a pepper paste and grilled onions and came with 2 nicely sized sausages.  It had a nice amount of spice, and was cooked so well.
The Chicken was the consensus favorite.  With such crispy skin served in bone so people can enjoy the wing, leg and breast, it's an automatic winner.  My family couldn't get enough of the croutons they were served with as well.

I'm not a dessert guy so I won't try to describe too much.
My family was obsessed with the PoppySeed cake and the owner nicely gave us two of the other desserts on the house.  Since we were so stuffed, we weren't able to finish everything, but every dessert was delicious.

Overall, the meal was terrific and I've never received such hospitality from any restaurant, let alone an NYC one before.  Granted, they were trying to compensate for a mistake, but from what I saw around us people were being treated similarly.  The biggest indicator of this was the amount of people that walked up to the kitchen and thanked the chef for a delicious meal.",False,1,0,0,Griffin A.,en,"{'neg': 0.058, 'neu': 0.641, 'pos': 0.301, 'compound': 0.9998}",0.9998,0.301,0.058,0.641,positive
144,2015-07-23 14:18:52+00:00,5,"A great addition to the neighborhood!  The food is delicious and healthy tasting.  The ambience is very discreet.  Drinks are delicious.  Everyone should try this place, definitely worth checking out.  We will be back.  :)",False,0,0,0,tania s.,en,"{'neg': 0.0, 'neu': 0.485, 'pos': 0.515, 'compound': 0.9844}",0.9844,0.515,0.0,0.485,positive
143,2015-07-28 05:04:32+00:00,3,"Food is good, grossly overpriced. Don't want to say inattentive service, but there are too many bits and pieces that are not thought out. 

When your customers order two salads, and ask for bread, take a gamble give them four pieces instead of two.

Loved the menu, wanted to try the drinks, enjoyed my 12.00 salad consisting of 5 tomatoes, 6 zucchini bits and one garlic clove. 

However won't likely be back.",False,0,0,0,Queen R.,en,"{'neg': 0.075, 'neu': 0.78, 'pos': 0.145, 'compound': 0.8266}",0.8266,0.145,0.075,0.78,positive
142,2015-08-22 05:24:03+00:00,4,"the houseman burger is quite a superb double burger! after my friend took the first bite, he looked up and said ""this is good."" 

excellent fries. excellent preserved cherries for dessert and excellent service. 

thoroughly pleased. and i really loved the interior decor as well. 

looking forward to another visit.",False,1,0,0,C S K.,en,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.9826}",0.9826,0.416,0.0,0.584,positive
141,2015-08-28 12:17:05+00:00,5,"this is an exceptional dining experience!  The service low key and yet very elegant.  the food is slow-cooked and from humane/ sustainable sources.  the preparation is really exceptional - sauces a light and flavorful, desserts creative and fresh.  It's a great place for a wonderful night out or a lovely quite early dinner.",False,0,0,0,Jo H.,en,"{'neg': 0.029, 'neu': 0.559, 'pos': 0.412, 'compound': 0.984}",0.984,0.412,0.029,0.559,positive
140,2015-09-01 23:18:57+00:00,5,"Excellent and creative food in a beautiful setting, and delicious drinks to boot.  The fried fava beans were simply amazing -- how has no one else thought of this?  If you fried me up a bowl of those right now, I would be one happy man.  The sausage was excellent, very rich, very interesting.  The menu was small, but it was one of those where you sort of left thinking that you wish you could have finished the set -- sure, you ate half the menu, but you really wonder what the other half would have been like.  Definitely one I'll be hitting up again.

Was it expensive?  Not for this neighborhood, not even remotely.  It's perfectly in line with what other restaurants charge for this caliber of food.

Was it a little out of the way?  Well, for me -- I wanted to try the hot new place, and this was it, but, yeah, I actually had to walk three blocks from the subway...  But it was definitely worth it.",False,1,0,0,Robert J.,en,"{'neg': 0.064, 'neu': 0.681, 'pos': 0.255, 'compound': 0.9891}",0.9891,0.255,0.064,0.681,positive
139,2015-09-02 17:43:41+00:00,5,"I read elsewhere that this place was a quiet gem waiting to be discovered and served the best burger in NYC.

Neither of these statements are quite true.

It was pretty busy given its out of the way location, I imagine soon it'll be impossible to get in too.

The burger was ok, however the other two dishes we ordered were outstanding.

There was a peach and prosciutto starter that was full of flavor, inventive and light.

The roast chicken dish was probably the best roast chicken I have ever tasted.

It was full of flavor and very moist, served with a full on flavored garlic toast.

These two dishes totally blew my mind. That along with a cocktail called a bicycle, a perfect meal.

Add an incredibly light vibrant venue and great staff and good pricing.

Just a great night out. 

If this is your neighborhood local, well lucky you. If not get here before you can't get in.",False,1,0,1,Richard R.,en,"{'neg': 0.027, 'neu': 0.744, 'pos': 0.229, 'compound': 0.9891}",0.9891,0.229,0.027,0.744,positive
138,2015-09-08 19:55:56+00:00,3,"Yeah, no. Supposedly one of the best burgers in town. Supposedly super innovative and delicious menus. Nothing was bad but nothing was inspired either. The burger patty itself was very tasty and umami-filled but the overall concept was lackluster (just caramelized onions and cheese) and I really don't like smushy potato buns which just sop up juices and turn into a soggy mess in your hands. I also much prefer raw onion to caramelized onions on burgers.

The fried fava bean snack was literally just a handful of fried fava beans (and tastes the same as the kind you can buy in a jar at an Asian/Burmese market) and the sort-of-deconstructed deviled eggs were not even close to a substitute for actually-deviled eggs. Little gem lettuces salad wasn't bad but really... it's just some leaves and dressing smeared on the plate.

And then there was the dessert menu. Laughable was the first word that came to mind. Did your pastry chef go on vacation and the best you could come up with was a scoop of vanilla ice cream with sliced cantaloupe? The vanilla ice cream was actually really nice but I have no idea if this was brought in or actually made in-house.

It's a cool space but this is definitely in the category of places to be seen and be trendy, and not places to be wowed and satisfied by the food.",False,4,2,1,Priscilla T.,en,"{'neg': 0.085, 'neu': 0.698, 'pos': 0.216, 'compound': 0.9904}",0.9904,0.216,0.085,0.698,positive
137,2015-09-12 23:13:05+00:00,4,"Walked by Houseman in west soho/Hudson Square so decided to give it a try.  Very nice space, small menu.  Had:

Dressed Eggs - very tasty with fried parsley and capers

Light salad - nothing complicated but excellent, great dressing

Straciatella with roasted vegetables - must try, very runny with zucchini, peppers and corn loved it 

Striped bass with clams for two - excellent though at $85 overpriced by $20.  Price not on menu but server did mention when I ordered.

Worth a trip to Hudson Square.",False,1,0,0,Bob D.,en,"{'neg': 0.177, 'neu': 0.647, 'pos': 0.176, 'compound': -0.2693}",-0.2693,0.176,0.177,0.647,negative
