,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
475,2017-03-24 00:22:27+00:00,5,"The newest and biggest Empellón is now open in Midtown with lots of great new stuff.

There are some tacos from the downtown location and staples like guac on the menu, but the new stuff is what we focused on. Most intriguing were definitely the Octopus Tacos with Celery and Peanut Butter ($18 for 2). Yes, peanut butter. These were excellent, as were the Hash Brown Tacos and Falafel Tacos with Grasshopper Hummus (both $14 for 2).

We also got the Pork Salad ($35) from the ""Closers"" section of the menu, which reflects the Midtown location  in both price and the name of the section. Served in a giant Chicharron bowl, it was delicious, but you will especially love it if you like the really fatty type of pork.

Definitely save room for the desserts, especially that sweet Avocado everybody's been talking about.",True,11,3,5,Mike C.,en,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.9953}",0.9953,0.286,0.0,0.714,positive
474,2017-03-26 17:25:17+00:00,5,Staff was extremely friendly and knowledgeable! Food was excellent! We had the short rib. It was so tender and the garnish on top was the perfect addition. Overall great dining experience!,False,0,2,0,Francesca S.,en,"{'neg': 0.0, 'neu': 0.502, 'pos': 0.498, 'compound': 0.9795}",0.9795,0.498,0.0,0.502,positive
473,2017-03-28 11:42:05+00:00,2,"Way too expensive and fair service (filling my water glass does not equal good service).

Be ware of fake reviews!!! Must have PR firm working overtime on this! Creepy. 

Happened to luck into a reservation on second day they were open by making it on their website. 

Food is wildly overpriced-even for midtown. 2 small tacos for $18, seriously? That is insulting. 

Waiter pushed us so we were ordering then ""right"" amount of food but I dont think he gave it any thought and had us order more than needed.

Waiter kept forgetting dietary issues. 

I  think many of the other reviews are fake. People with 1500 reviews who give everyone 5* are press flacks, no?",False,5,2,0,Brad G.,en,"{'neg': 0.167, 'neu': 0.804, 'pos': 0.029, 'compound': -0.948}",-0.948,0.029,0.167,0.804,negative
472,2017-03-31 02:21:54+00:00,5,"Enjoyed lunch last week, so decided to come back and try some other dishes.
Good thing I came because they were giving out to customers today couple of complimentary dishes, shrimp & corn ice cream tacos. Both should be on the menu.

Their prix fix lunch at $35 is a very good value, which included an appetizer, tacos of your choice, and dessert.
The lobster salad, split roast beef tacos, and grapefruit crème brûlée - all very good.

The best dishes were the queso fresco w/ citrus fruits/trout roe (a combination that I wouldn't find appetizing, but this dish was amazing and would order again) and the A5 wagyu fajitas w/ black pepper mole. The $125 price tag for the fajitas can be a bit intimidating, but you are getting 8 oz of the highest grade wagyu - a great value, imo, considering that you would get much less for a similar price at other NYC restaurants.

Also, highly recommend the 'citrus' bites, quite creative & delicious. Perfect way to end the meal.

Excellent service, as before.

Highly recommend.

: 9 calendars",False,4,1,4,Go Bruins 1.,en,"{'neg': 0.029, 'neu': 0.682, 'pos': 0.289, 'compound': 0.9958}",0.9958,0.289,0.029,0.682,positive
471,2017-04-03 15:56:19+00:00,5,"Chef alex stupaks new venture is by far his most deserving. Amazing classics from the downtown menus like his al pastor, then his flare like octopus and peanut butter tacos and falafel tacos. Everything here is unique and delicious.",False,0,0,0,Britta F.,en,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.9522}",0.9522,0.315,0.0,0.685,positive
470,2017-04-04 14:23:21+00:00,3,"So excited they opened. Anyone who works in the area knows the dire need for new places. But I really feel they missed an opportunity here. The bar is way too small for a midtown crowd and the layout is strange with upstairs bathrooms and 2 oddly placed staircases. People could not fit in the door or get drinks. Plus in the confusion they put other peoples' charges on my bill which I did not catch at the time. Not acceptable for a group with this much experience. And $17-18 small glass Margaritas is steep even for the expense account crowd. 
Food is just as good as the other locations. Fresh, and insanely overpriced. 
Still glad we have new place around here, but it will not be our new everyday spot I hoped it would be.",False,3,0,0,P C.,en,"{'neg': 0.201, 'neu': 0.653, 'pos': 0.146, 'compound': -0.8884}",-0.8884,0.146,0.201,0.653,negative
469,2017-04-13 18:36:47+00:00,2,"Overpriced, small portions for what you pay. Service was pushy and annoying, trying to get us to order more dishes. Hostesses with attitude. Not going back.",False,0,0,0,X Y.,en,"{'neg': 0.54, 'neu': 0.46, 'pos': 0.0, 'compound': -0.9764}",-0.9764,0.0,0.54,0.46,negative
468,2017-04-14 01:39:47+00:00,5,Fabulous hash brown tacos!! Excellent margaritas! The perfect setting. Thoughtful and attentive service.,False,0,0,0,Elisa M.,en,"{'neg': 0.0, 'neu': 0.298, 'pos': 0.702, 'compound': 0.9632}",0.9632,0.702,0.0,0.298,positive
467,2017-04-16 22:28:54+00:00,5,Such a beautiful place. The drinks and food are amazing...I had a lovely place on Sunday morning eating at the bar. Great service,False,0,0,0,Santo P.,en,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.9153}",0.9153,0.396,0.0,0.604,positive
466,2017-04-18 01:14:10+00:00,3,"They try to be original with the food and presentation, but don't succeed very much. A lot of items on the menu look interesting but most are not up to the expectation. Service is not the best. Hostess was not the friendliest either. Prices are in line with what you would expect to pay at a dinner in a midtown restaurant.",False,1,0,0,Slava V.,en,"{'neg': 0.191, 'neu': 0.736, 'pos': 0.074, 'compound': -0.8512}",-0.8512,0.074,0.191,0.736,negative
465,2017-04-20 12:45:05+00:00,5,This place is great to meet friends who also work in midtown decent prices on specialty drinks. The food was great Guacamole with chips that are homemade. Peppers and cheese dishes vegan style veggies that are healthy for you if you're watching the waistline. The staff was friendly and helped you choose the right drink. It was a fun night !,False,2,0,1,Karmela L.,en,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9705}",0.9705,0.289,0.0,0.711,positive
464,2017-04-20 19:45:08+00:00,5,"Went to Empellon after the car show and shopping. Grabbed  the last two seats at the bar. Cucumber and jalapeño margaritas are awesome.  Tried three appetizers and two tacos. Everything was excellent and the bar tenders really nice. Cant wait to go back,  too bad i live in connecticut.",False,0,0,0,Jeffrey R.,en,"{'neg': 0.08, 'neu': 0.672, 'pos': 0.248, 'compound': 0.8602}",0.8602,0.248,0.08,0.672,positive
463,2017-04-22 16:36:41+00:00,3,"Pros:
7 salsas
Guacamole
Drinks
Citrus dessert
They have a dude trapped in a small space making drinks for the upstairs tables

Cons:
Crab nachos with sea urchin queso - woof 
Oyster shooters

Indifferent:
Bacon tacos
Chicken tacos",False,0,1,0,Curryface P.,en,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.9246}",-0.9246,0.0,0.286,0.714,negative
462,2017-04-23 00:42:41+00:00,3,"Been anticipating this place for a while now, as it's very close to where I work (ok ok, it's literally in the lobby :)

But, I must say it's my least favorite of all the Empellons.

The bar area has some high tables which make it very inconvenient to hang out, as people are getting waitress service there too I think and getting food and stuff.

The bathrooms couldn't possibly be further from the bar.

Food is decent and they took some of the staples from the Taqueria downtown... Some interesting Margaritas on the menu, but to be honest, I still have to work through a lot of it. 

Overall, I'm sure will do nicely given the Hedge-Fund hotel above with their readily accessible expense-accounts... but won't be my pick for a sit-down meal in the hood. Maybe just hang at the bar for now.

...not sure I want to spend money on A5 quality beef being converted to Tacos (isn't the whole idea originally about cheap cuts of meat stewed a long time?)... well maybe I like the idea better on someone else's aforementioned expense-account :) 

p.s. staff is incredible and super-friendly.",False,4,1,1,Abul R.,en,"{'neg': 0.087, 'neu': 0.735, 'pos': 0.178, 'compound': 0.9548}",0.9548,0.178,0.087,0.735,positive
461,2017-04-25 17:49:09+00:00,4,"Wonderful new midtown location.  Large space, but not overly loud.  Good for a business lunch or a post-work cocktail/dinner.  Food is as inventive as the offerings at the downtown location.  Octopus tacos were tasty and unique with the peanut butter & shaved celery.  Guacamole and salsa flight is also worth it.",False,0,0,0,Joshua S.,en,"{'neg': 0.052, 'neu': 0.73, 'pos': 0.219, 'compound': 0.902}",0.902,0.219,0.052,0.73,positive
460,2017-04-28 14:12:22+00:00,1,"Folks really dont get mexcian food or tacos in manhattan.  I think the restaurant confuses being creative for the sake of being creative.  Creativity matters only when it 1) amplifies the food, or 2) changes one's experience in eating a standard dish while maintaining the integrity and excellence of that dish.  Otherwise being creative alone is pointless.

We literally took one bite of the taco and passed.  We also didnt finish dessert.  I had just spent 2 wks in cali (nor and socal) eating on avg one tacqueria every 1.5 days.  As context i grew up in norcal and went to college in san diego.


Food: 1.5
Service: 4
Ambiance: 4
O/all: 1.5 (bias skewed towards food)

Things to note:
1/ lunch pre fixe of $35 not a bad deal for midtown--starter, 2 tacos, and a dessert
2/ gorgeous restaurant
3/ our server was excellent and encouraged us to provide feedback since we took one bite of our tacos
4/ the crab nachos were actually quite good--crab, hakaido uni, cheese, creme, and really well fried 'high end' tortillas
5/ the stewed chicken and steak tacos were horrible, embarassingly so.  the steak was rubbery while the chicken was bland; and the various other pairings with the protein didnt help improve the tacos.  our starters were decent...the yellow beet.
6/ desserts were uninspiring",False,0,0,0,Pat R.,en,"{'neg': 0.136, 'neu': 0.727, 'pos': 0.136, 'compound': -0.6008}",-0.6008,0.136,0.136,0.727,negative
459,2017-05-02 20:59:19+00:00,5,"Beautiful space, bar, and atmosphere!  Cocktails are creative, fresh, and made with high quality ingredients and garnishes! Service is warm and friendly and love the open kitchen! The downstairs is lively and upbeat, the upstairs might be more fit for a quieter experience for those that desire more privacy- but love that the space allows you the option to choose your vibe! Bathrooms are stocked with organic soap and mouthwash-nice touch- loved the fun taco selections- hash brown and the pastrami were my two favorites! Definitely get the 7 salsas- a fantastic pairing for the whole meal! Empire Estate Riesling is on their bottle list and goes great with the cuisine! Next time I want to try the A5 Wagyu fajitas for sure- will be back soon, as Empellon is as fancy as their Rolex store neighbor and in my opinion equally as classic !",False,0,0,0,Jenna B.,en,"{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.9954}",0.9954,0.323,0.0,0.677,positive
