,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
157,2023-04-03 22:36:04+00:00,5,"Open for business in the iconic Odessa space & I felt all those feelings from eons ago.
It's a counter with cushioned seating, booths & a bar are. Pretty awesome space.
Ate:
Superiority burger
Lentils with cornbread 
Steamed veggies with tahini
Sour cherry tart with vegan chocolate gelato
Total $64 after tip
I'm not veg or vegan per de but fine more & more often vegan & veg.
There's lots of cute kitschy touches like plastic bags from spots like L&B & am Odeon sign.
The pie case is a treasure! Paper placemats with local businesses make it so fun. The cushiony counter seats or booths are the jam.
I loved my mains- especially the lentils. I didn't know the veggies were served cold but they were excellent with tahini and smack sauce(hot sauce)
The tart came with something else & I requested chocolate (vegan) gelato. That dessert was banging. Please sir I want some more.",True,6,1,4,Franny A.,en,"{'neg': 0.045, 'neu': 0.725, 'pos': 0.23, 'compound': 0.9856}",0.9856,0.23,0.045,0.725,positive
156,2023-04-08 00:57:23+00:00,5,"Um, so I think I have a problem... I don't think I'll be able to stop coming to Superiority Burger for as long as I am a New Yorker so that pretty much means forever. 

I would always past the original location on my way to Confectionery and not know what was going on there. It was always busy with people standing about on the tiny block that is 9th street. 

Once again today, on my way to Confectionery I was in the neighborhood.  My phone was on its last leg and I was getting hungry so I decided to stop near somewhere local. Looking up the address, I was able to see that SB had moved but was not too far. As I approached I saw the long line and hopped on since it was nearing the opening time.

I am so happy I stopped by today which was coincidentally their opening weekend. This place is truly amazing! No matter how good the food is, if the service is not it, then the place is not a place I want to be. The team at SB was beyond hospitable despite the stress that comes with an opening weekend. The food was amazing. The Superiority Burger might be my favorite burger beating the one I had in Paris. The lentils and cornbread was delicious and comforting. I want to order it again on Monday (yes, I will be back so soon since I'm off) but I think I should try some other items. I thought I was smitten with burger but the banana bread is truly phenomenal. It is probably my favorite dessert ever and I'm not even a banana person. Every part of it was a star. The chocolate, the gelato, the, candied walnuts, and of course the banana bread itself. 
 

I wish I had asked for her name (she was the best... kind, helpful, and funny... so much so I kept ear hustling her convos with my neighboring patrons) but the server who attended to my section mentioned that they're planning to be open pretty much all day. SB has got me saying I can't wait for Monday (I'm shocked too... yeah I'm definitely not going to attempt Saturday or Sunday though lol).",True,0,0,1,Naomi T.,en,"{'neg': 0.076, 'neu': 0.714, 'pos': 0.211, 'compound': 0.9967}",0.9967,0.211,0.076,0.714,positive
155,2023-04-08 12:51:03+00:00,5,"We missed you, Superiority burger! I went in knowing there would be a crazy wait so we put our name down at 630 and walked around / got drinks then at 830 were seated. Everything was exactly how it used to be, same quirky funny vibes and decor, really simple tasty food, and amazing desserts, just in a much bigger space. The food and desserts were delicious. They added alcoholic drinks, but I would skip cocktails next time, as they are expensive for what they are - they have beer/wine though! but overall we loved it all.",False,0,0,1,Georgia H.,en,"{'neg': 0.11, 'neu': 0.716, 'pos': 0.173, 'compound': 0.7977}",0.7977,0.173,0.11,0.716,positive
154,2023-04-10 17:44:09+00:00,5,"I didn't think it was possible to improve on the original SB -- my go to for the better part of a decade(!) -- but wow, Brooks and team crushed it. It was worth the wait! The staff is lovely, the vibes are just perfect, the soundtrack remains Manhattan's finest, the seltzer really is the best, and the expanded menu hits every sort of spot. 

The collard sandwich, stuffed cabbage, and lentils were sleeper hits for us, but of course the classic megamouth and yuba sandwiches totally slayed as always. We arrived around 915p, expected a 40m wait at the bar and got to sit down in about 15m. Can't wait to become a regular.",False,1,0,0,Matthew M.,en,"{'neg': 0.119, 'neu': 0.675, 'pos': 0.205, 'compound': 0.9123}",0.9123,0.205,0.119,0.675,positive
153,2023-04-10 23:35:40+00:00,1,"The food is highly overrated. There is much better vegan food not only in NYC but in the East Village itself within a 0.5 radius. As a neighborhood resident; I think this is a Mecca for pretentious hipsters who actually haven't bothered to look beyond the hype of superiority and feel superior by eating overpriced mediocre vegan food. In addition, this place lacks the family vibe and neighborhood-y warm ness that is a signature of the east village. I was in the park nearby (no bathroom) and asked them if my 2.5 year old could use their bathroom to pee and they showed me the door. I wish cold mean people like that could stay away from our neighborhood!",False,4,0,0,Victoria K.,en,"{'neg': 0.184, 'neu': 0.672, 'pos': 0.144, 'compound': -0.901}",-0.901,0.144,0.184,0.672,negative
152,2023-04-16 14:58:54+00:00,5,"Back and better than ever. They've really captured that energy of waiting for your food outside the old Superiority Burger, only this time inside the restaurant. It's kind of loud and buzzy and fun as hell. And still delicious -- you'll find a similar sandwich/side menu plus more desserts this time (this part of the menu deserves a thorough exploration, though the gelato and sorbet are probably still the champs). Love the bar in the back too.",False,1,0,0,Edward J.,en,"{'neg': 0.048, 'neu': 0.7, 'pos': 0.252, 'compound': 0.961}",0.961,0.252,0.048,0.7,positive
151,2023-04-18 01:31:40+00:00,2,Travel far to get there and was told no take out not sure if you are  doing good business been closed for a few  years almost and now open with limitations !,False,0,0,0,Damian C.,en,"{'neg': 0.13, 'neu': 0.786, 'pos': 0.084, 'compound': -0.1416}",-0.1416,0.084,0.13,0.786,negative
150,2023-04-18 21:40:49+00:00,3,"This place came in clutch. It was a Saturday night. My girls and I were in search of some good vegetarian food.
We head in here, and to our delight, it's vegan and vegetarian options only. They don't have many menu items. However, what we did try was good. 
I had the namesake burger, and it was just alright. Nothing really special.None of the burgers are served with fries, but it's quite filling. 
My friend had the sloppy dave  burger, which was full of seasoning it was sooo good. 
For dessert, we had the funnel cake it was a 10 out of 10 . This other desert with vegan ice cream I forget the name of right now. We also had the sweet potatoes but purple skin kind known throughout the caribbean it was a tasty fusion dish. 
Most of the staff is really friendly and attentive. 
They serve cocktails. The space is small but welcoming . I'd visit again.",False,0,0,0,Cheri G.,en,"{'neg': 0.04, 'neu': 0.69, 'pos': 0.271, 'compound': 0.9939}",0.9939,0.271,0.04,0.69,positive
149,2023-04-22 22:57:26+00:00,1,"The wait is long, but the one star review is not about that. It's about the food itself and the service. The portions are tiny and extremely expensive. The sweet potato is HALF of a tiny baby sweet potato that was three inches long. It was almost funny when the server put it on the table how comically small it was. The roasted beets came in a tiny cup. The burger has always been on the small side, even at the old location. And the yuba sandwich was like a kid's portion. The rhubarb pie fit in the palm of my hand, the size of an Oreo cookie. On top of the tiny overpriced portions, the wait staff is obsessed with turnover so as soon as you lift the last bite in midair, someone whisks your plate away... before you've even put your fork in your mouth. That didn't happen only once, it happened every time with every single one of our dishes. It's very uncomfortable, rude, and rushed. We spent over a hundred dollars on dinner for two plus a couple drinks (the aforementioned dishes were the only ones we ordered) and they had us out in less than an hour (after waiting 1.5 for a table). The server kept asking us if we needed anything else, bombarded our table with the check and credit card machine within one minute of finishing dessert. It was bizarre and the whole experience was awful. If you don't mind spending $150 (with tip) on a 35 minute rushed meal of meager child's portions with every busser and server snatching your plates away and pushing the check on you... then this is your place. Others, stay away.",False,6,0,0,Delphine P.,en,"{'neg': 0.282, 'neu': 0.644, 'pos': 0.074, 'compound': -0.9985}",-0.9985,0.074,0.282,0.644,negative
148,2023-04-23 20:28:31+00:00,5,"It's a shame to see people tanking the reviews over silly stuff, because the food is outstanding. The service is typically very quick, and they've retained the vibe of the old SB except with seating and a greatly expanded menu. 

This isn't some fancy five star dining experience. You're not going to be treated like a special pretty princess. I like it that way, personally. And I'm glad to see that it's busy with a long wait - I want SB to succeed so I can keep coming here forever! You do you, SB. Just don't ever take those beets off the menu.",False,0,0,1,Grace N.,en,"{'neg': 0.119, 'neu': 0.676, 'pos': 0.205, 'compound': 0.6696}",0.6696,0.205,0.119,0.676,positive
