,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
242,2015-06-13 22:11:12+00:00,5,"Great wine selection and delicious food in a very casual setting.

Highly recommend it! Pro tip: take the hazelnut tart",False,2,0,2,Martha V.,en,"{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.9537}",0.9537,0.52,0.0,0.48,positive
241,2015-07-13 03:55:12+00:00,5,"Ok first of all, if you haven't been here or Contra, punch yourself in the face!

Jeremiah Stone and Fabian von Hauske dreamt up these sister eateries and have really done a bang-up job. Though this review is mainly for Wildair, I will say that the attention to detail, the warmth and inviting nature of the spaces, and (of course) the food is on-point as fuck for both places. On the night I was there, it was apparent to me that Jeremiah is a hustler--there is no shared kitchen, so he is literally Benny Hilling out the door and into the next to keep operations running smoothly.

EXTENSIVE and choice wine list. Incredible in-house baked, still-warm, chewy and savory bread. Delicious radishes sitting perfectly in delicious seaweed butter (did I taste matcha up in there?!!). Beautiful shrimp with a dreamy adornment of lime, fennel, celery. Spigarello!!! It's a broccoli rabe heirloom, you peasant! Put it in your mouth!

Before I left, I had to tell Jeremiah myself that the most amazing part of this experience was the rhubarb custard. Shut. Up. I can't even do it justice. Go try some. In fact, try it twice. At the beginning of your meal AND at the end. 

I can't wait for the next time I roll through here. It's a good place to keep in mind for needing a quick little snack, or a meal to satisfy a variety of cravings, or a magnum of wine. Or two bowls of rhubarb custard. 

(If I have any criticism at all, it's the lighting. I wish it was just a touch warmer?)",False,2,6,1,Siobahn S.,en,"{'neg': 0.061, 'neu': 0.746, 'pos': 0.194, 'compound': 0.9921}",0.9921,0.194,0.061,0.746,positive
240,2015-07-13 05:00:24+00:00,4,The clam toast is amazing. Would also come back for the fried squid (which includes thinly sliced fried lemon slices)!,False,0,0,0,Pearl Q.,en,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.6239}",0.6239,0.177,0.0,0.823,positive
239,2015-07-17 02:29:20+00:00,1,"Fake reviews piss me off.  This place is not worth a trip.

The menu is quite limited.  There are a number of appetizers and that's what they are - not tapas designed to be paired as an entree.  But then literally two entree choices, pork or steak.  Diverse, I know.

The service, while nice, is so slow it is like you're a prisoner - it was an Hour between appetizer and entree and then an hour between dessert and check even though we gave our card...

Finally the steak, which is one of two entree choices, was oversalted as was the broccoli side dish (appetizer ordered as side dish).

Save yourself the trouble.  This is a bar with snacks.  Oh and the wine list is ok albeit esoteric and they have one beer on the menu...",False,3,1,0,Joe R.,en,"{'neg': 0.17, 'neu': 0.75, 'pos': 0.08, 'compound': -0.9345}",-0.9345,0.08,0.17,0.75,negative
238,2015-07-21 23:47:41+00:00,5,"""I just high fived the man for his wine choices -- ridiculous.""  

Orange wine is now top of mind and my charts on gem discoveries, along with Wildair -- a truly kick ass place to get your munch on and slake the vino beast. 

It was an exceptional night of creative dishes, perfect pairings, seamless service & casual feasting with my old friend Chad and a great server --  Michael.  I'm still drunk from the evening, thank you, Michael. 

It was a balmy night yet the humid City was slashed to oblivion by steak tartar and seven more beauty dishes that kept coming as each equaled the last in its ability to provoke further hunger. My buddy Chad is an über foodie, and he just may have proven that following the kitchen's lead is the way to hit it. 

Tasty, fun, innovative & eye opening --
what more should a menu provide?

I'll be back for more wildness sho 'nuff.",False,0,0,0,Edward H.,en,"{'neg': 0.066, 'neu': 0.716, 'pos': 0.218, 'compound': 0.9834}",0.9834,0.218,0.066,0.716,positive
237,2015-07-26 10:12:31+00:00,5,"Fantastic dining experience! 

Where do I start? Let's start with the well curated wine list. It consist of mostly natural wine from small wine makers. We started with the extra refreshing  spritzer. Followed by a beautiful white blends from Cantina Giardino, which really opens up our palette. 

For food, we started with the oysters on the half shell pair with bone-dry muscadet  - perfect to go with the salty briny oysters. Comes the appetizer - mangalitsa soppresata, some amazing salami. It is richer sweeter than regular salami because of the mangalitsa pig. It is paired with the most wonderful Laurence & Remi Dufaitre. 

Oh how can I forget the beef tartar with mustard seeds and smoked cheddar. And the marvelous roasted sardine with grilled eggplant, feta and green olive. This is my favorite of the night. It's bustling with favors in multiple directions - smoky salty sweet . Oh mine!

And it gets better and better. The giant Georgia white shrimp simply seasoned with soy sauce decorated with cilantro and celery. This is outstanding. The shrimp was charged outside that you can eat the shrimp whole with the crispy shell.  

Now comes the wagyu steak for two. This is heavenly. Juicy scrumptiousness paired with sweet charred shallot and shishito. It paired well with the  C'est le Printemps Crozes Hermitage Syrah which is youthful and bouncing of black cherry and hung of honey nites. I had a foodgasome right there.

At last we decided not to skip the hazelnut chocolate tart regardless we were beyond full. Boy what a smart choice we made

I have been to the sister restaurant - Contra multiple times. While it is equally outstanding, I prefer the wine bar theme at Wildair more. 

Last note. If you get lost in the wine list, don't hesitate to ask Jorge, the wine manager. Trust the man , if you don't know what you want.",False,5,4,3,Nomad M.,en,"{'neg': 0.054, 'neu': 0.724, 'pos': 0.223, 'compound': 0.9959}",0.9959,0.223,0.054,0.724,positive
236,2015-07-30 00:53:14+00:00,4,The food is well prepared but not outstanding. This place is a fun place to eat but it is not worthy of the over the top admiration it receives. The wine list is nice and well priced.,False,0,1,0,Richard L.,en,"{'neg': 0.135, 'neu': 0.489, 'pos': 0.376, 'compound': 0.9064}",0.9064,0.376,0.135,0.489,positive
235,2015-07-31 02:55:12+00:00,5,"One of the best meals I've had an ages. Have had beef tartare at all the top spots in the city and this is hands down the tastiest, leaving estela in the dust. Scallops crudo were also next level, as were the saldines and nuanced hazelnut chocolate torte

Also reasonably priced! Just go already",False,0,0,0,B G.,en,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.7424}",0.7424,0.108,0.0,0.892,positive
234,2015-08-06 15:28:39+00:00,4,"The food here was pretty good and we didn't have to wait in line at all when we got here around 6:30ish. 

Food:
Oysters with lemons - delicious and fresh
Scallops crudo - very good but I'm not a huge fan of the grapefruit and some of the veggies in this dish
Beef tartare with cheese - delicious 
Summer squash - not good; too bland; wouldn't order this again
Wagyu steak - yummy
Panna cotta with peach granita and crumbs - the peach granita was on the sour/bitter side but the rest of the dessert was good",True,1,0,0,Bo B.,en,"{'neg': 0.038, 'neu': 0.604, 'pos': 0.358, 'compound': 0.9926}",0.9926,0.358,0.038,0.604,positive
233,2015-09-04 15:03:24+00:00,3,"I'm conflicted about this place. Went last night after seeing the 4 star review in Time Out NY and it definitely didn't live up to their normal standard for a 4 star new restaurant. However, some of the dishes we had were absolutely fantastic and maybe, as a new restaurant they just need to work through a few kinks. 

Let's start with the good:

The bread and olive oil was delicious. Seemed freshly baked and tasted like sourdough (which I love).

Scallop Crudo OMG fantastic. One of the best scallop dishes I've had. The scallop was pillowy soft with a refreshing citrus and cucumber sauce on top. Delicious. 

Spicy Tuna-another win. Sort of like a elevated spicy tuna roll on toasted bread which added a nice smokey flavor and crunchy texture. Loved this dish.

Beef Tartar-solid dish. I think my expectations were a bit too high considering the Time Out review highlighted this specific dish. It was very good but didn't stand out to me like the spicy Tuna and the scallop did.

The so-so:

Radishes with seaweed butter. It was ok, but nothing really special. Wouldn't order it again.

The cheese plate-we had this for dessert (which seemed to confuse our waiter). The cheeses were actually quite good but they don't come with anything. Like, no bread, no almonds, no honey. It's literally just some slices of cheese. If you're going to offer this, just make it a buck or two more and throw in some slices of bread....

The bad:

Our waiter seemed a bit rushed. He forgot one of our dishes which, I know happens but I think they just need to hire more front-house staff. 

The wine list-I drink my far share of wine but I'm no Dionysus. I was completely lost with this wine list which pretty much only features small growers and lesser known varieties. The people next to us seemed to be stumped as well so I know it's not just me. 

I asked for a rec on the closest white by the glass to a sauvignon blanc and got a vouvrey which was a bit too acidic for my taste, especially for the $15 a pop price. We then moved on to the Pet Nat section of the list (yea we had to google what that was. Don't judge) and got a glass of the dry sparkling stuff which wasn't stellar but did the trick. I'm all about trying new things (esp drinks) but if they're going to put forward a wine list that might not be familiar at all to people, it may be good to have some short descriptions, at least for the wine by the glass, so that people aren't completely lost. Take Terrior Wine bar for example, lots of lesser known wines but great descriptions which help you navigate. 


All and I I would go back, maybe in a few months when, hopefully, they have some of the issues mentioned above worked out.",False,1,0,1,Melissa T.,en,"{'neg': 0.109, 'neu': 0.762, 'pos': 0.129, 'compound': -0.0254}",-0.0254,0.129,0.109,0.762,neutral
