,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
1327,2014-10-17 13:59:44+00:00,4,Tried pre opening.  Limited menu mostly small plates.  Innovative modern Mexican.  Excellent food and service in an informal setting. Very good wine list.  The hamachi was outstanding.  Lobster and octopus deserve to be tried.  Will be back after formal openeng.,False,0,0,0,Tato F.,en,"{'neg': 0.105, 'neu': 0.588, 'pos': 0.307, 'compound': 0.9061}",0.9061,0.307,0.105,0.588,positive
1326,2014-10-18 00:41:30+00:00,5,"Such a wonderful restaurant!  I can't say enough good things about our experience last night.  Food, drinks and design were fantastic. The front bar area was a perfect place to have drinks before din -- very sleek design and warmly lit.  Burrata and lobster tacos were our favorite dishes -- the tortillas with the tacos were indeed awesome.  Highly recommend Cosme!",False,1,1,1,Caroline L.,en,"{'neg': 0.031, 'neu': 0.653, 'pos': 0.316, 'compound': 0.9711}",0.9711,0.316,0.031,0.653,positive
1325,2014-10-21 16:25:16+00:00,5,"For the first time I felt the mexican taste in a restaurant outside of Mexico. Everything made with so much care and gourmet style. I enjoyed every part of it, specially the mescal drinks.. the striptease has just become my favorite.",False,1,1,1,Claudia R.,en,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.8683}",0.8683,0.218,0.0,0.782,positive
1324,2014-10-23 01:09:32+00:00,4,"As a rule, I try to wait at least a month before trying a new restaurant in order to give it time to find itself, work out service kinks, etc.  When my girlfriend snagged a reservation during Cosme's soft opening, that rule went out the window.

We were a party of four and the server, who claimed the portions were ""very small"", recommended two dishes per person.  There were 12 items on the menu, ranging from $12 - $34; we ordered eight.  

I read the NY Times article where Olvera claimed most of his dishes would be under $20; he left out that there would be two to three bites per dish.  Even someone used to eating at Estela every night would notice how little food was on each plate.

The food, though, was very good.  It's a seafood heavy menu and the stars were the tataki al pastor, in the form of perfectly cooked pennies to be wrapped into Olvera's delicious tortillas; the lobster pipil sope, sitting atop a black bean puree; and the mushroom barbacoa, which was a very creative melding of vegetable, meat and sauce.

After the eight main dishes, we ordered two desserts.  The best thing we ate, unanimously and by a huge margin, was the Husk meringue dessert with corn mousse.  Wow.  I recommend getting one for two people max; you won't want to share any more than that.

Across four people, we had eight mains, two desserts and three rounds of drinks; the bill with tip came out to $480.  

I see Cosme settling into a good option before a night out -- it will be trendy and you won't be full.  

(3.5 / 5, rounded to 4 due to anticipated improvements in atmosphere and service.)",False,5,2,3,Tom E.,en,"{'neg': 0.021, 'neu': 0.846, 'pos': 0.133, 'compound': 0.9883}",0.9883,0.133,0.021,0.846,positive
1323,2014-10-24 12:00:02+00:00,4,"The Eater and Grubstreet hype machines have been doing a good job of making me really want to try Cosme, so I was excited to snag a table during the first week they are open, when they are currently accepting same day reservations, since the online reservations are booked pretty solid through November.

Make no mistake, this is fine dining in a more casual atmosphere. You will either leave starving, or drop a pretty penny on several small plates, which all happen to taste amazing. Our experience was somewhere in the middle:

- Tostadas with Pumpkin Seed Butter
This is an incredibly good complimentary bite to start with. Too fancy for chips and salsa, they instead give you two large, round cracker thin tostadas accompanied by some pumpkin seed butter. The warm, crispy tostadas were tasty enough on their own, but even better with some of that butter spread on. Make sure to request more of these to better get your money's worth.

- Burrata and Weeds ($22)
One of the ""in"" dishes lately, the Burrata was also recommended by our server, and it was delicious. It is topped with small pieces of those crunchy tostadas, but not nearly enough for the whole dish, especially if you aren't the biggest fan of eating just pure cheese like me, so this is a good time to request more of those that they brought out to start. Much like a lot of the stuff though, I'm not sure about that price tag.

- Octopus Cocktail, Yellow Conico Corn Atole, Red Onion, Avocado ($25)
Touted as the chef's signature dish, this did not disappoint. I never really order octopus, since it can often be too rubbery, so I was delighted to find that this was one of the best octopus dishes I've ever had. It had a slightly chewy, but not at all rubbery texture, and was delicious when paired in a bite with the creamy avocado, onions, and little kernels of black corn. This was definitely the best dish of the night. 

- NY Strip, Shishitos, Peas, Avocado, Tarragon Puree ($34)
These four little pieces of meat were delicious, but not nearly satisfying enough for 34 bucks. The dish was served with small tortillas for making your own little wraps, which added a little more sustenance, but I didn't really taste anything particularly special in the raved about warm tortillas.  

- Cobia al Pastor, Pineapple, Cilantro ($22)
This was delicious as well, 6 small slices of cobia garnished with sweet pineapple and cilantro. Maybe skip one of these pricier dishes though in favor of the strongest thing here, the desserts.

- Husk Meringue, Corn Mousse ($12)
This strange-looking but somehow very attractive thing is in every Instagram shot taken here, and it is worth ordering for more than just the pretty picture. It's a big, white meringue shell with creamy corn mousse spilling out of the center. It sounds like a weird flavor combination, but it is really delicious. Get this.

- Chocolate, Tamarind, Orange Sorbet ($12)
But also get this, another really great dessert. As a contrast to the hunk of meringue mentioned above, this is another one of the very artfully plated dishes here. Thin pieces of chocolate brownies are stacked around a small scoop of orange sorbet in the middle, all on top of rich, creamy dollops of chocolate. Sweeter than the meringue option, this is another great choice.

The atmosphere in the main dining room is one of the coolest I've seen lately. It's almost like there's a spotlight on each table, as it is quite dark, with high, bright lights above each table. The service was impeccable too, making for a very pleasant experience throughout.

Having ordered most of the stuff on the menu (other than shellfish that I am not able to eat), I don't really see the need to return any time soon given the prices and the difficulty at scoring a table. Still, it's definitely an excellent restaurant that's worth trying for the amazing food, as long as you are willing to spend a little too much.",True,26,9,13,Mike C.,en,"{'neg': 0.097, 'neu': 0.658, 'pos': 0.245, 'compound': 0.9992}",0.9992,0.245,0.097,0.658,positive
1322,2014-10-25 03:40:42+00:00,5,"I live in the neighborhood. The staff was  very friendly. If you're against very attractive  bartenders and people this place is not for you. I will be back. Dear Yelp friends, you would like this place.",False,4,0,2,Christopher M.,en,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.9402}",0.9402,0.351,0.0,0.649,positive
1321,2014-10-27 03:17:22+00:00,5,"The Mexican-inspired fare at @CosmeNYC by @EnriqueOlvera is New York City's hottest! During my time living in NYC, one of the biggest complaints had always been the lack of quality Mexican food. While visiting from San Diego, we had the pleasure of dining at Cosme during their soft opening on Saturday October 25th -- it was mind-blowingly good. 

Including dessert, we ordered and shared these eight items:

*Burrata, salsa verde, weeds
-- a fantastic combination of flavors you must order

*Mussel tostada, Russian salad, chipotle mayonnaise
--it's a tostada like no other, featuring chunky portions of mussel coated in a spicy cream sauce. 

*Sliced raw hamachi, fermented serrano, black limes
--great, high quality sashimi

*Cobia al pastor, pineapple, cilantro
-- another must order item! An interesting preparation of the fish, and the pineapple adds a flavor like no other.

*Octopus cocktail, yellow cônico corn atole, red onion, avocado
-- if you love octopus (pulpo) order this, if you're not sure about octopus order this and have your mind changed.

*Mushroom and squash barbacoa, chilpachole
--the sauce is AMAZING!

*Lobster pibil, chorizo, black beans
--a solid dish for lobster and chorizo lovers

*Dessert: Husk meringue, corn mousse
-- This is a dessert that I've been thinking about all day. It has a hardened outer shell or meringue with a light salt taste, along with a sweet corn custard inside, a combo which provides a perfect balance. 

Rare for me, is that there was not a single item we ordered I wouldn't try again. They also have a craft cocktail and wine list, however my only criticism is in the lack of wines from Mexico. The Guadalupe Valley region of Baja California (near Ensenada) features phenomenal wines, and Cosme is the ideal place to introduce paired selections to New Yorkers. We ordered a bottle of the one Mexican wine on the menu and loved it; we think others would too.",False,6,1,2,Ken B.,en,"{'neg': 0.048, 'neu': 0.812, 'pos': 0.141, 'compound': 0.9876}",0.9876,0.141,0.048,0.812,positive
1320,2014-10-31 05:02:07+00:00,3,"Visited on the third day after they officially opened and it shows. 
Kitchen is turning out very good high end Mexican cooking but are backed up by extremely uneven service. 
I'll cover the downside first, showed up early for our reservation and were asked to be seated in the bar area which we were more than happy to do. Took over 20 mins to get a cocktail after we ordered it. 
Cocktails were good and had some snacks of the mussel tostada which was fantastic and the smoked sepia which had a nice subtle smoke flavor but a texture that is more of an acquired taste. 
Waited for quite some time after finishing the drinks and snack and finally after it was 10 mins after our reservation time went up to ask if we could be seated. 
Maitre d' said we could sit at a communal table or wait 30 mins. 
I expressed confusion since we had a reservation to which he acted surprised like he had never seen us before despite the fact we had specifically checked in with him and sat in his direct line of site for 40 mins. 
He then simply walked off and another female hostess came up and said she would see if our table was ready. 
We sat down for 10 more mins and watched several empty tables before the original male matre d came back and just stared at us oddly. 
My wife asked ""are you ready for us?"" And he said yes. 
He walked us back to our table and finally at the table offered to take our heavy coats which we had carried since we came in only after he saw us trying to put them on the chair backs in confusion. 
We were then handed menus which were stained with salsa and avocado from previous customers and ignored for another 10 minutes. 

Thankfully, after that things started to improve significantly. 
The staff in the dining room were much more attentive and pleasant and very soon we were able to make drink and food orders and proceeded to have a good meal. The only other hiccup was that my wife reported the bathroom as out of order. 

So on to the better news. All the dishes ordered ranged from very good to excellent. Single-origin blue corn tortillas were fantastic and had a range of salsas very well balanced with enough heat to notice but not to be overwhelmed. 

We ordered:
Octopus cocktail - excellent octopus with delicate heat and red onion with purple corn. 

Burrata with weeds - cool and creamy and delicious with a wonderful herby salsa verde. 

Cobia al Pastor - slices of cobia tataki with pineable. The cobia was a more neutral flavor but carried the bright pineapple and included tortillas and salsa. 

Lobster Pibil Sope - A standout dish with lobster and chorizo and creamy black beans. 

Duck Carnitas for 2 - a lot bigger than we expected and very rich. This one required careful eating. You had to balance it with just the right amount of skin and fat and salsa. Otherwise it came across as somewhat dry. But eaten in balance was good. But by this time we could not finish it all as we were too full. 

Had to skip dessert which was hard since we heard the corn mousse was very good. 

All in all solid cooking and I would love to try again when they hopefully have everything running smoothly. 
If that were to happen this could certainly be a 4 star review or better. This is Enrique Olvera of Pujol so it's obvious he can produce 5 star food. But given the comically bad service to get seated and being handed dirty menus  it started off a good meal with a bad taste in our mouths.",False,2,2,2,Chris H.,en,"{'neg': 0.065, 'neu': 0.729, 'pos': 0.206, 'compound': 0.9989}",0.9989,0.206,0.065,0.729,positive
1319,2014-10-31 14:19:45+00:00,1,"After we were seated we finally got to see their overly hyped menu.  After looking at the menu we could not find anything on it that we would be interested in eating, so we got up and left.",False,0,2,0,Donald K.,en,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.4019}",0.4019,0.068,0.0,0.932,positive
1318,2014-11-09 19:54:11+00:00,2,"I've read the raves, and wanted to put my 2 cents in. We were there on opening night, very excited to have snagged a reservation. We left an hour later sorely disappointed. First, the drinks at the bar ($17) were nothing special. That made us uneasy. Once we were seated, we decided to start ordering small and if the food was great, to keep going. Everyone's right - small portions, so if you're hungry, be prepared for a big bill. Anyway, we got our first dish, and the unease deepened. I had the scallop dish. It sounded great, but all I could make out in this white dish was a fairly flavorless soft taste (I assumed was the scallop) and a crunchy taste, and some heat...and very little of either, since it looked like there was one scallop in there sliced very thin. The main flavor was olive oil. My friend was disappointed as well in his lobster and chorizo dish - not terrible but really nothing special. We stopped ordering and left (hungry). Maybe it will get better, but I cannot endorse the glowing reviews at all. We're both very happy to drop quite a bit of money if the food is outstanding (Dovetail, 11 Madison Park) but I'd rather eat at the rich and flavorful taqueria in my neighborhood than spend hundreds of dollars here.",False,2,0,0,Louis D.,en,"{'neg': 0.129, 'neu': 0.689, 'pos': 0.183, 'compound': 0.9517}",0.9517,0.183,0.129,0.689,positive
