,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
807,2016-06-12 15:26:30+00:00,5,"Beautiful, warm and cozy interior by Roman and Williams. Cute little bar area. Gorgeous open kitchen.
The menu has three sections, small tapas like plates, starters and mains. We started with the white bean salad with crispy pig and anchovy and the fried eel with curry. Both were wonderfully light but packed with subtle flavor. Our neighbors at the next table let us try their artichoke and egg. It was sort a cross between a scotch egg and eggs Benedict, but cold. Very nice.
For our starter we shared the veal head with creme fraiche and caviar. Over the top decadent. A crispy little pocket filled with unctuous head meat topped with the cream and caviar.
For our mains my wife had the beef that came with gratin potatoes with oxtail, an incredible meal in itself. I had the bourride, beautiful seafood in an ethereal fish broth. 
We finished off with a wonderful cheese plate and a rice pudding that was lighter than air.
We had an excellent bottle of red Chinon from Bernard Baudry.
Beautiful space and excellent celebratory food.",False,6,0,1,Michael S.,en,"{'neg': 0.029, 'neu': 0.7, 'pos': 0.27, 'compound': 0.9947}",0.9947,0.27,0.029,0.7,positive
806,2016-06-16 04:40:25+00:00,3,"Love to have this place in the hood.  Bartender is cool. Management a bit too stuffy and boarder line arrogant.  
Only had a drink at opening night. Ready to change rating if Starr's menu blow me away next time.",False,4,2,0,Tong S.,en,"{'neg': 0.149, 'neu': 0.664, 'pos': 0.187, 'compound': 0.2023}",0.2023,0.187,0.149,0.664,positive
805,2016-06-17 16:22:28+00:00,5,"I had never been to Spring in Paris, so was really curious to check this out. The entry-room and dining room were gorgeous, not too stuffy. Had an IPA from Wyoming to start which I hadn't seen before - very good. The menu had truly unique food options. I started with the fried eel which was quite light and tasty, not the least bit oily. My colleague ordered warm oysters which were also excellent. A few of the following courses were so outstanding, that I have a total appreciation for what this chef is doing. The lobster-stuffed baby sea bream served very lightly chilled with a yogurt sauce was perfect. The veal tongue with creme fraiche and caviar could not have been better - Worth every penny. And the 'full' rabbit entree will be recognized as one of the best courses in NYC. The first part was served kinda 'au feu' in a broth, perfectly cooked. The second part was a bowl of rich leg meat in an incredibly decadent sauce that at the same time was not heavy. Serious stuff. The duck with cherries & foie gras was also great, but something we could have potentially experienced in another top restaurant. I didn't try any cocktails but wine list offered a lot of options with age at reasonable prices - very cool. We had a white wine from 2004 that still tasted young. Will definitely be back to try more dishes!",False,3,0,1,Eric S.,en,"{'neg': 0.007, 'neu': 0.793, 'pos': 0.201, 'compound': 0.9917}",0.9917,0.201,0.007,0.793,positive
804,2016-06-18 12:47:55+00:00,5,"We were a little concerned since the restaurant opened only 2 days ago but the A team was in place. The rooms are beautifully done. The service is professional, attentive but not fussy. And most of all, the food was very good. We started with oysters (bigger ones would be better) but the sauce was incredible. Next leeks, lobster salad, scallops - all shared. For entries  - duck and steak. The foie gras that accompanied the duck was generous and delicious and were the potatoes with marrow. Wine selection was pricey but the helpful wine director suggested a wonderful petite Chablis at our requested $100 price point. For the entries, good choices of red by the glass. Last, we had the best rice pudding ever and gratis sorbet profiteroles. Too much to eat but thoroughly enjoyable evening. Th only problem will likely be getting a reservation when the press catches up. With the trip even from the upper east side.",False,3,0,2,Fred M.,en,"{'neg': 0.043, 'neu': 0.662, 'pos': 0.294, 'compound': 0.9956}",0.9956,0.294,0.043,0.662,positive
803,2016-06-20 00:02:41+00:00,5,"Fantastic food from a fantastic chef; a very obliging, accommodating and knowledgeable waitstaff; personal ambience, despite high ceilings and possibly because of the exposed cream city bricks that make up a majority of the walls in the (large) space...these are all thoughts I had while dining at Le Coucou last night.

While not necessarily for vegetarians (I don't think many real French restaurants are), the wine list alone would make up for that, were one vegetarian. 

In short, go. It's worth it. I'll be back.",False,2,0,2,Norman L.,en,"{'neg': 0.037, 'neu': 0.86, 'pos': 0.103, 'compound': 0.7783}",0.7783,0.103,0.037,0.86,positive
802,2016-06-27 02:16:48+00:00,5,"With so many great, new restaurants opening in NYC these days, it's hard to keep up.
But, after reading the interesting NYT article (April 18, 2016) on Le Coucou and how an American chef became very successful in Paris, embracing French tradition, this new restaurant by Stephen Starr was a must visit for me.

As for the ambiance, beautiful interior with an open kitchen.

No tasting menu yet (in the works), so ordered many dishes and created our own, with recommendations from the staff.

Highlight dishes:  All, including the wonderful desserts. 
Most of the dishes are reasonably priced (most appetizers less than $15; mains bet. $20-45).

Highest compliments to executive chef Daniel Rose and his pastry chef Daniel Skurnick for the wonderful dinner tonight.

Many thanks to Frank & Estelle for the impeccable service and great wine recommendations.

My vote for one of the best new restaurants NYC 2016, along w/ L'Appart in Le District.

Highest recommendation.

: 10 calendars",False,8,0,6,Go Bruins 1.,en,"{'neg': 0.02, 'neu': 0.718, 'pos': 0.262, 'compound': 0.9949}",0.9949,0.262,0.02,0.718,positive
801,2016-06-27 04:26:52+00:00,3,"Not feeling this place. Ate there last Saturday night. Wine list is very poor with majority are off brands that are poorly rated and overpriced. 
The food was average. Had the duck. Flavor was good but a little chewy. Would rather have seen it cut thin. 
Three people had the Dover sole and were underwhelmed. Desserts were average. Wouldn't be hurrying back with so many better choices in NYC.",False,1,0,0,Bennett M.,en,"{'neg': 0.34, 'neu': 0.595, 'pos': 0.065, 'compound': -0.9806}",-0.9806,0.065,0.34,0.595,negative
800,2016-07-01 11:44:47+00:00,5,"This was Paris in New York. Devine is allI can say!!Raves for this beautiful addition to the NYC dining scene.    It is so many notches above. Raises the fine dining level in the city!!  The  duck could not have been better in juxtaposition with foie gras and cherries!  The  steak was tender and cooked perfectly in a wonderful sauce.  The eel was a must have!  Quenelles were the best I ever had.  The halibut was presented artfully and was Devine.  On and on I could write a book about the desserts and ambience. Service was a little slow but after all only a few weeks old.  Can't wait to return if I can snag a booking!

Ellie",False,2,1,0,Ellie C.,en,"{'neg': 0.045, 'neu': 0.807, 'pos': 0.148, 'compound': 0.9279}",0.9279,0.148,0.045,0.807,positive
799,2016-07-08 02:11:36+00:00,4,"This is an excellent new restaurant with delicious food and service that (mostly) befits it.

We were very excited to try this place because of *both* the chef and the designers, the latter who have created a lovely space that feels very French yet very New York at the same time. It is a lovely environment to have a lovely meal.

We were greeted by three extraordinarily friendly hostesses who made us feel very welcome, almost as though they were genuinely excited to see us. And, for the most part, the evening continued with more of the same. Our water glasses were never empty (my barometer for attentive service); virtually every interaction came with a smile and a warm tone of voice; and the food was delicious from beginning to end.

Choosing a cocktail seemed like a fun activity at the start. At least right now, they're merely numbered #1 through #6 (except for #5, which is, perhaps too winkily, something like #528). There were no cutesy names, which was a bit of a relief. Except that some of the ingredients were a little obscure . . . and even a little under-table Googling provided no insight. With a little elucidation from one of the servers, we made our choices--except apparently even they were confused about which cocktail is which, because we were served the wrong ones, even though they were announced by the correct number. Perhaps this system can be smoothed out.

For appetizers, we chose from the hors d'oeuvre menu (there was a ""gourmandises"" section of the menu that had pricier delicacies as appetizers, as well): the fried eel (out-of-this-world good!) and the veal terrine (also delicious). Both are recommended.

Unfortunately, the menu is in French with English translations OR descriptions OR elaborations. It's difficult to process--and I might say TOO difficult to process. My co-Yelper and I are adventurous eaters (and drinkers), and there were too many things we didn't know. (My co-Yelper lived in France and is fluent in French, so that's no excuse.) The restaurant has fallen into the recently popular trap of sounding fancy at the expense of clarity. If the menu is going to be in French: fine. But throw us a bone by being consistent and clear. (This, by the way, is the only reason I didn't give Le Coucou five stars.)

For mains, we selected the duck with cherries (and foie gras) and the halibut. The duck was exquisite, and the halibut was very good (flaky and smothered in a white butter sauce). I would order the cherry-duck dish again and again and again. A selection of three cheeses (for $18) was a perfect cheese course to finish the meal.

The restaurant is pricy, and it mostly merits the digits. It needn't try so hard in the area of the menu, though. Try hard with the hostesses, with the very nice bathrooms (Aēsop soap!), with the preparation of the cheese monger. All of these things are wonderful and make me very excited to go back. But a menu should empower diners, make them feel excited about the meal they're about to enjoy, not outsiders uninitiated in the culinary mysteries--which also happen, unfairly, to trip up the servers.

Otherwise, a five-star experience.",False,1,0,1,Brian Q.,en,"{'neg': 0.054, 'neu': 0.79, 'pos': 0.156, 'compound': 0.9953}",0.9953,0.156,0.054,0.79,positive
798,2016-07-09 01:26:44+00:00,5,Excellent excellent excellent. From the service to decor to the food. Oddly enough there are few places that are fine dining in the French category that get it. Happy to have you le cou cou.,False,1,0,1,Liz S.,en,"{'neg': 0.063, 'neu': 0.628, 'pos': 0.31, 'compound': 0.9153}",0.9153,0.31,0.063,0.628,positive
797,2016-07-13 21:20:57+00:00,5,"We are big fan of a very special restaurant in Paris, France and we spent years seeking for a similar restaurant in NYC ever since we moved here. We used to go to chef Daniel Rose's Spring in Paris and of course we are very pleased that he brought the new definition of decadence back in US. We love every single dish and the pairing wine we ordered and specially that Lobster tail and that beautiful lauris sauce will sure make me go back there again and again. Great ambience, love the decor, friendly staff, great open kitchen, not noisy even when packed, nice WC music and it's fun to sense the subway passing to remind us that we are not in Paris. XD",False,0,0,1,Shopi V.,en,"{'neg': 0.023, 'neu': 0.695, 'pos': 0.282, 'compound': 0.9907}",0.9907,0.282,0.023,0.695,positive
796,2016-07-14 18:49:45+00:00,5,"Really great experience dining at Le Coucou.  They have an elegant space which is very tastefully executed.  Think upscale and welcoming both at the same time.  The service is another area that shines, 5 stars all the way with what seemed like a entire team of people who were both attentive and sincere (but never intrusive) attending to our meal.  They really strive to accommodate, and they hit the mark.  The food is by acclaimed chef Daniel Rose, and everything we tried was very good.  The rabbit ""tout le lapin"" and the veal ""langue de veau"" being two that stood out in particular.  Overall a great experience.  Looking forward to going back, there were numerous other dishes (Bourride and the Duck) which looked very appealing that I would like to try.",False,0,1,0,Kevin B.,en,"{'neg': 0.01, 'neu': 0.766, 'pos': 0.224, 'compound': 0.988}",0.988,0.224,0.01,0.766,positive
795,2016-07-15 20:01:32+00:00,5,"Breakfast review. The French love their oeuf's and it's done right at this star of Stephen Starr's restaurant empire. Located in the Blond Hotel(really) this is a glam spot with sumptuous velvet banquettes and velvet baked chairs. Modern chandeliers hang over the space. Fancy French country open kitchen.
Ate:
Pain au chocolat
Oeuf's special
Cafe
The pain au chocolat arrives warm, made in house. The poached eggs with choron sauce  (bernaise with tomato) are perfect served over pomme Darphin- perfectly crisped French hash browns. La Colombe coffee made this a rock star breakfast.",True,22,10,19,Franny A.,en,"{'neg': 0.06, 'neu': 0.757, 'pos': 0.183, 'compound': 0.926}",0.926,0.183,0.06,0.757,positive
