,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
1764,2016-09-11 19:46:16+00:00,5,"Fun and adventurous new Thai seafood restaurant. The food is much more authentic than any other Thai restaurant I've eaten at in NYC, also most plates are shared so this is great for dates or groups. Lots of great dishes with shrimp and crab, great balance of flavor and spiciness. Also a veggie curry for those who don't eat seafood. The fried chicken and calamari make for excellent and tasty appetizers. The ambiance is clean with lots of cute Thai inspired details.",False,1,0,0,Julian K.,en,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.992}",0.992,0.371,0.0,0.629,positive
1763,2016-09-13 02:24:02+00:00,4,"Definitely get the fish here.

Take this review with a grain of salt, as I have a shellfish allergy, but was still able to try enough stuff to make a meal out of it. From the small plates, I was able to try the Hat Yai Fried Chicken ($12) and the Namtok Pork ($14). Both were decent, nothing particularly special, and probably just what suckers like me have to put up if they can't try the real (i.e. shellfish) stuff.

For the mains, we tried some shellfish stuff as well as the excellent Crispy Garlic Branzino with Fish Sauce ($32). These are definitely NoHo prices, and it's not that much fish for that price, but the fish you do get is excellent, with some super crispy skin and juicy meat. The Crab Curry, which had shellfish, was described as being notably spicy by my dining companions, who were both able to tolerate very spicy food, so be wary of that one.

The vibe is very hip and trendy modern Thai, with colorful seating and stuff that it's actually a little hard to notice and night since it's a super dark restaurant, but you can imagine how nice it will be when they launch lunch and brunch, especially if you get that spot in the front by the open windows.

They have a sign that proudly proclaims there is no pad thai here, so if you are looking for that type of Thai food, you will be disappointed. Otherwise, they have some delicious seafood in a fun setting that could be great for sharing in a group of people that can all eat shellfish.",True,16,8,12,Mike C.,en,"{'neg': 0.08, 'neu': 0.674, 'pos': 0.247, 'compound': 0.9968}",0.9968,0.247,0.08,0.674,positive
1762,2016-09-15 01:43:11+00:00,5,Very good indeed-- Crab curry is amazing .. If you can handle 5 stars spicy -- go for it!,False,0,0,0,Suwatana K.,en,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.8066}",0.8066,0.313,0.0,0.687,positive
1761,2016-09-15 13:14:09+00:00,3,"Hit and miss!

The restaurant was buzzing with beautiful people but I am guessing it is mainly due to the hype on new opening as opposed to the food. 

Thanks to the previous yelper, we got the crispy branzino to share. It was the best dish we had that night.   Given the name of the restaurant, we stayed focus on seafood.  For appetizer, we had mussels to share...it was quite delicious but a very small portion (there were precisely 8 mussels in the pot)!  In addition to the fried branzino, we also got the Seafood pad cha and Goong Aob Woon Senn...pa cha was super spicy!! Watch out.  Goong aob soon senn came with glass noodle which I love...but part of the noodles were burnt and there were 2 shrimps and 1 piece of fatty pork (didn't taste the usual  pork belly flavor) in there.  For that, they charged $18!!

The service was very good and the hostess was very accommodating (I called to postpone our reservation by 15 mins given the inclement weather).  

It was nice to be one of the first to check out this place but needless to say, I won't be returning.  Will stick with Ngam for my Thai fix!",True,3,3,0,Cindy W.,en,"{'neg': 0.082, 'neu': 0.736, 'pos': 0.182, 'compound': 0.9835}",0.9835,0.182,0.082,0.736,positive
1760,2016-09-16 01:31:26+00:00,5,"The food was seriously on point. Fresh, hot, spicy, harmony and flavorful. The chef here spent years with the world renowned chef David Thomson at Nahm restaurant in Bangkok. This dinner reminded me the time I was at Namh as well as other delicious restaurants in Thailand. If you're in restaurant industry, you'd already know that Nahm was No. 1 best Asian restaurant and in the world 50 best restaurants. Right here in Manhattan, as a result, we have the place to go for upscale Thai. 

Service was super friendly. However, our server might need more food knowledge (first day - understandable!).

Charming, warm, detail oriented and elegant design. Looked at them cooking in open kitchen even made the meal more spectacular.

Overall experience was amazing. Heard they would have awesome bar program created by the beverage guy from 'Employee's Only'. Will definitely go back to try more food with Asian influence cocktails!",False,1,0,1,Kiss K.,en,"{'neg': 0.02, 'neu': 0.663, 'pos': 0.317, 'compound': 0.9963}",0.9963,0.317,0.02,0.663,positive
1759,2016-09-18 20:16:19+00:00,5,"Best Thai food in the city! The vibe is great and the food hit the spot! It's in an amazing area, I would highly recommend.",False,0,0,0,Danny V.,en,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9475}",0.9475,0.436,0.0,0.564,positive
1758,2016-09-22 05:53:51+00:00,4,"It's only been ten days since Fish Cheeks threw open their doors and it seems they've already found their bearings. My girlfriend and I walked in at 6pm and was able to get seated right away on a Thursday. Once seated, the staff promised an authentic Thai meal and that anything that was marked spicy on the menu would truly be spicy. I am happy to report that they delivered on both. 

Seeing as how Fish Cheeks bills themselves as serving family-style dishes, we ordered the Namtok Pork, Seafood Pad Cha and Coconut Crab Curry to share. All three items were marked spicy and it is here I'll issue a fair warning to those who can't handle spicy food; the Seafood Pad Cha and Coconut Crab Curry were so spicy it brought me back to the stifling streets of Bangkok on a humid Summer day. The food was sweat inducing spicy and I found myself reaching for my Thai iced tea to temper the heat in between bites but as mentioned, the food delivered on the authentic claims as well. The Namtok Pork in particular was bright, funky, savory and full of rich flavor. Bottom line, Fish Cheeks is a cute restaurant that offers truly flavorful Thai food.",False,1,0,3,Rodney C.,en,"{'neg': 0.022, 'neu': 0.79, 'pos': 0.188, 'compound': 0.991}",0.991,0.188,0.022,0.79,positive
1757,2016-09-25 23:44:07+00:00,4,"Next up for Thai Sunday:

New restaurant serving authetic Thai cuisine.
Limited/reasonably priced menu.

Highlight dishes:  Steamed mussels, fried calamari, crab fried rice, and tom yun goong.

Don't be afraid of the chili sign next to the dishes on the menu; The tom yun goong had a chili sign, but it wasn't spicy at all.

Enjoyed the rambutan for dessert. Tasted like they were freshly peeled.

Excellent service.

Recommend.

: 8 calendars",False,5,2,3,Go Bruins 1.,en,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.9565}",0.9565,0.217,0.0,0.783,positive
1756,2016-09-26 19:27:04+00:00,3,"The food here is amazing, as are the drinks. We loved the namtok pork, the shrimp in 3 crabs sauce, and the crab curry, as well as the side of sauteed cabbage. The branzino was ok, very fried. 

The decor is super cute, very relaxed, feels like a beach restaurant in Thailand. 

My one bone to pick (hopefully they'll fix this, as they're still super new) is that our waiter really rushed us through our dinner. We were there on Saturday, and we were in and out in under an hour, and not by choice. They brought our entrees while our appetizers were still on the table, and then the second we were finished eating put a check on the table, which they then tried to pick up three separate times when we had not yet put a card in since we were still enjoying our drinks. Being that rushed when we were 'out for the night' on a Saturday was pretty annoying.",False,1,1,0,Tory B.,en,"{'neg': 0.104, 'neu': 0.727, 'pos': 0.169, 'compound': 0.8711}",0.8711,0.169,0.104,0.727,positive
1755,2016-09-27 19:03:32+00:00,5,"The search is over ! Thank all the goddess in #Thailand, finally an authentic Thai restaurant in Manhattan! This is my new fave Thai in NYC. Sorry Uncle Boons :P 

My favorite tonight is the cured raw shrimp in crab sauce lime juice with chopped garlic, bird'seye chili and mint. This is prob the first Thai restaurant which I didn't say ""make it extra spicy"" lol. The dish is def hot but there so much more than just spicy: it has depth and dimensions - sweet, sour, salty and minty. Oh mine!  All flavors are blended seamlessly, balanced and fragrant. I can eat this every day! It goes very well with the off-dry Gewurztraminer i opted for. 

Main, I opted coconut crab curry (southern Thai style). In case you are not familiar with regional Thai cuisines,Southern Thai food tends to be much hotter than Thai food from other regions and being heavily influenced by flavors and spices used in Indonesia and Malaysia, which is intense and pungent. The coconut, so much part of the scenery, is used to its fullness. No exception in this beautiful bowl of goodness - chunks of king crab swimming in the golden color coconut curry with betel leaf (i consider it the equivalent to basil in Italian cooking with milder aroma). It is spicy yet subtly sweet and abundant coconut perfume. The curry paste is made in the traditional way , meaning mortar-and-pestle crushed. I must warn you, one sip of this golden curry, you will never be able to go back to your out-of-the-jar curry. 

All in all, I have a great experience here. From decor to service, and of course, the food. Menu is concise but well curated. Same can be said about the wine list. Cocktails seem interesting too though I prefer wine. 

Def will come back for more.",False,7,1,4,Nomad M.,en,"{'neg': 0.059, 'neu': 0.806, 'pos': 0.135, 'compound': 0.9749}",0.9749,0.135,0.059,0.806,positive
