,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
610,2008-04-23 15:14:56+00:00,2,"I wanted this place to be good. I really did. 

After reading several good reviews from various places, I anticipated good food, good service, and good ambiance. 

Well, the ambiance was nice. White marble shelves at the bar, clean, modern wood throughout, and a sliding glass entrance, (which if you're not careful, will cause you to trip into the place). The tables were too close for comfort. If you're sitting on the wall seats you have to lift your legs to get into the table. 

And the food? Not exactly memorable except for the fact that the entrees were too salty and way too unbalanced in size. The bread and olives were good. But after two baskets of waiting, we expected the main course to be worth the wait, and sadly it wasn't. 

I ordered the lasagna, which was a decent portion. And beforehand the server suggested that I order a side in case. 

My poor dinner companion got no such warning. He ordered the chop, and it arrived alone on a giant white plate. With nary a single piece of garnish against this small brown mass of meat. Pitiful was the word that came to mind that night. 

Dessert was okay, again, nothing memorable. 

Who knows, maybe I was there on an off night. Or maybe the establishment was pissed at us for not ordering wine with our meal, (the nerve!) Either way, it's one of those places where I'm not likely to return unless I'm all out of ideas on where to go for a good Italian meal.  To me, this place was just eh.",False,5,0,0,Lisa F.,en,"{'neg': 0.152, 'neu': 0.757, 'pos': 0.091, 'compound': -0.9804}",-0.9804,0.091,0.152,0.757,negative
609,2008-04-29 20:27:29+00:00,4,"I do love my cookie-cutter porn shops and tattoo parlorettes but I Sodi is a welcome new addition to Christopher.

Maybe it was our seat at the bar... Maybe it was our loose flirtation with the friendly waitstaff... Maybe it was Lisa F's wake-up call to the kitchen...  I don't have the answer but know that my dining experience at I Sodi was an unexpected treat.

We started with the aforementioned bread and olives.  I'm going with Bella di Cerignola here but I'm not Italian so do with that what you will...

For the main event, my buddy opted for Tagliatelle Alla Matriciana while I selected a Seafood Risotto with an Insalata di Carciofi E Parmigiano to start.  It's perverse but the earthiness of the paper-thin artichoke slices with the bite of Parmigiano-Reggiano was spiritual for me.  A family trip through the Tuscan countryside flashed by like a ViewMaster with a light trigger.  I didn't pull a Diane Lane, but did escape into that fond recollection more than once during my work day...

Both entrees made the repeat order list.  I would jump the fence for the homemade tagliatelle next time as the turbot and shrimp in my risotto were subtle for a rainy Monday.  However, both commanded the price of admission.  And, with the weak dollar, this may be as close as I'm getting to Italy anytime soon...

We sent it all off with a quartino of Chianti (o due) but opted for a gelato nightcap down on Bleecker.  

The ambiance, upbeat staff and the simple, delicious fare landed I Sodi the mantle of 'Best New Neighbor on Christopher Street'.  However, I prefer you listen to Lisa F. so I can still get a table...",False,3,3,3,Mark L.,en,"{'neg': 0.039, 'neu': 0.817, 'pos': 0.144, 'compound': 0.9892}",0.9892,0.144,0.039,0.817,positive
608,2008-09-11 19:53:19+00:00,4,"I really loved this excellent low-key neighborhood spot.  The space has a rustic feel, the menu is small and the service is spot on.  But the best part was the food.  It's exactly as Tuscan food should be - simple, with a focus on fresh ingredients.  We had:

- heirloom tomato and cucumber salad 
- antipasti for 2 - great variety of meats, cheeses, and preserves to go with it
-meat lasagna 
-spaghetti w/clams
-veal special - roasted, thinly butterflied, with a tasty tuna sauce.  surprisingly light.
dessert - profiteroles - 3, each with a different filling (vanilla gelato, straciatella gelato, and cream)

Portions were the perfect size and almost every dish was perfect.  The only disappointment was the dessert.

I will definitely be back!",False,1,0,0,Ian F.,en,"{'neg': 0.059, 'neu': 0.598, 'pos': 0.343, 'compound': 0.9938}",0.9938,0.343,0.059,0.598,positive
607,2008-10-07 02:50:46+00:00,5,"Really now. Christopher street has taken a step up in my mind with the arrival of I Sodi AND Rag & Bone. Fashion, style, good taste....it has it all. 

Or, at least two places with all that.

We have been here about 10x since my first review and the food is more outstanding every time. The staff is not only friendly, but knowledgeable. Mark the bartender is so sweet and lovely to speak with, we tend to dine at the bar when it's just the two of us. The manager, whose name I can't pronounce or spell is also fantastic!

Tonight we shared the:

Antipasto for two, the seafood risotto (1/2 portion-which was HUGE!!) and the Branzino cooked with tomatoes and potatoes. 

All were absolutely top notch. If you like the movie Auntie Mame then I can tell you it was, ""Top drawer.  Simply top drawer!""  If you don't get my reference then you really need to rent that freakin' movie. Seriously. Do it now. Get to Kim's.

We had a really great wine from Piedmont. Can't remember exactly what it was, but it was an extremely delicious medium bodied red with violet and blueberry notes. We didn't want the whole bottle, so the manager (who's name I can't pronounce or spell) let us buy a carafe of it.

This is a perfect place for a low-key night to make your belly happy. 

Divertiti!!!",False,2,0,1,Jennifer N.,en,"{'neg': 0.02, 'neu': 0.754, 'pos': 0.226, 'compound': 0.9964}",0.9964,0.226,0.02,0.754,positive
606,2008-10-28 02:47:35+00:00,4,"My GF has the patience of a saint--especially after she gets a bit of her shop on. After having a fabulous brunch at Pastis with numerous cocktails, we went walking around the neighborhood with our friends Brooke and Liz. We decided we needed another drink after helping stimulate the neighborhood economy. Rag and Bone--I will say no more.

We went into I Sodi with the intent of having a glass of wine a piece; well since we really did not know that much about Italian wines, we stayed for a little education--like two bottles worth of education. We had a great visit and even though my GF was not drinking, she too had a great time. the bartender gave a tasting of a few wines and we picked out a couple. The prices were great: under $45 a bottle. Good times for a great price.",False,1,1,2,Deborah S.,en,"{'neg': 0.014, 'neu': 0.767, 'pos': 0.219, 'compound': 0.9844}",0.9844,0.219,0.014,0.767,positive
605,2008-10-28 16:26:49+00:00,5,"Rita Sodi is a tall, athletic Florentine whose frame fills doorways and whose smile softens the platinum curls that somehow lend her austerity rather than cool lassitude.  The doorway to her restaurant, I Sodi, open onto the most infelicitous intersection of the West Village: Bleecker and Christopher.  The tacky tattoo parlors and head shops elaborate a paucity of taste whose counterpoint is defined by the exquisite space built by the former director of Calvin Klein in Europe.

I Sodi, after suffering through the growing pains of any restaurant, has begun to receive a great deal of press and praise in the last few weeks.  Deservedly slow.  The Tuscan comfort food that is a culinary autobiography of the owner's life and a tribute to her mother's prowess in the kitchen, does not stray far from dishes that one could make at home (if they knew what they were doing and spared no expense).

Diners crowd through etched glass framed in reclaimed wood from a South Carolina barn and step into a tiny anteroom before they reach an L-shaped line of small tables that bend around a luxurious, though decidedly understated, bar that adjoins and struts out from the kitchen.  The backbar is lined with glassware, which seems to have been chosen from a Museum gift shop (the water and highball glasses rest so beautifully beside each other that an failure to order a cocktail suggests a lack of aesthetics).  The most obscure and best Italian amari are lined up in careful rows and mixed carefully in various concoctions, the most famous of which are included on a five-deep Negroni menu--the Punt-a-Groni, flavored by Punt e Mes, offers a deep coffee color and the bitter wormwood flavor that deepens gin's herbal notes.  

Impeccable service coupled with homey food underscores the well-negotiated contradictions of I Sodi: the decidedly elegant, chic, space feels is warmed by wide comfortable tables; knowledgeable waiters explain minutiae with pride rather than polish; epicurean tastes demure rather than confront the neighborhood's immature hedonism.  Our server was a two-headed hydra, one a shaggy southerner the other a goateed Northeasterner, who took turns describing dishes, clearing plates, pouring wine and exploring the differences between various Maraschino liqueurs.

Our meal was shared over a 1997 Tommasi Amarone.  The kitchen produces a delicious antipasto platter--served on the best Genovese flatware--which I managed to eschew this time without dissatisfaction, so the carciofe crudi and watercress & pecorino clearly warranted praise.  Rita Sodi despises vinegar and almost any acids, so her artichokes are threatened with discoloration, but their nuttiness is released by the loss of lemon.  The watercress, which is so often a tangle of leaf and stem, was carefully manicured and the two salads whetted our appetites while sharpening our palate.

A simple carbonara was enriched with guancale rather than pancetta, or even bacon.  The sauce was a bit too cheesy rather than eggy, so taken as a carbonara it was a bit off.  Discussed as a pasta, it was delicious and split between two it was perfectly set against the light Branzino Livornese that we ordered.  This was not the best branzino I have eaten--that recipe, that dish is most wonderfully executed by Jody Williams, but served boneless with the two fillets bracketing fried potatoes I felt curls of flavor address me from a grandmother's skillet.  The sautéed spinach and carciofe fritte filled out the meal.  Similar to carciofe guidea, I Sodi's carciofe fritte are fried in olive oil but cut into popcorn size bits, these lightly dredged treasure decorated pleasure like pearls on a patrician maiden.

We lingered for some time over hazelnut semifredo and fig tart, but the sweets were no comparison for the savory as they seemed to suffer from the carefully plotted production that cannot be found in your mother's cupboard.  The lines of the bar and the arcs of the chairs began to seem abundantly familiar and knowing we had miles to go before we were home, we left.  Content, well-fed and feeling as though we had left the convivial home of very fashionable friends.",False,3,0,1,Kevin K.,en,"{'neg': 0.052, 'neu': 0.798, 'pos': 0.15, 'compound': 0.9973}",0.9973,0.15,0.052,0.798,positive
604,2008-11-21 21:14:16+00:00,4,"Love this place! It's cozy and has a lovely atmosphere, sort of a cross between rustic and modern/urban. The bar is nice and long, so lots of places to sit and have a drink or dinner, or wait for the rest of your party. The somelier was very friendly and helpful in choosing glasses of wine. He offered tastes of anything we were curious about as well as a few he wanted to introduce us to. 

For dinner, most of us started with a salad. A few of us had the arugula, one had the artichoke, and one chose a salad of red cabbage. For entrees, oddly, all of us went with lasagne, everyone had the meat sauce version except me, I went with the artichoke version. I'm a huge fan of lasagne, and I Sodi does it well. Everyone practically licked their plates.

For dessert, we shared a fig tart and a flourless chocolate cake. Both were yummy, and we all rolled out of there stuffed and happy. The service was great, the food was delicious, and the atmosphere was lively. Perhaps a bit loud to be a good date restaurant, but certainly a good one for small groups or dinner with a friend.",False,1,0,0,Jennifer L.,en,"{'neg': 0.047, 'neu': 0.709, 'pos': 0.245, 'compound': 0.9888}",0.9888,0.245,0.047,0.709,positive
603,2008-12-30 05:30:29+00:00,4,"Great service, delicious food, nice wine menu and amazing olive oil. Place is small, but cozy, and well lit. 

Had the sliced polenta with meat (special of the night was with duck); also had a taste of the lasagna with chopped artichoke hearts -- excellent flavors on both, but the polenta was slightly (just barely) too dry. Entrees range from $16-$28. 

Recommend the antipasto appetizer (small is a sufficient portion for three to taste, but not gorge, on -- cured meats such as salami and prosciutto, as well as cheeses). This place is an excellent find!",True,0,1,0,Pamela K.,en,"{'neg': 0.064, 'neu': 0.654, 'pos': 0.282, 'compound': 0.9804}",0.9804,0.282,0.064,0.654,positive
602,2009-01-12 16:35:06+00:00,3,"I went to I Sodi with a friend who'd read a review of it in the New Yorker.  Having wandered Christopher Street myself, I was surprised that a restaurant of its supposed calibre would open adjacent to smoke shops and sex stores.  I was curious.

And it was lovely, but nothing to write home about.  The food is all based on recipes from the owner's family cookbook.  Apparently her Italian mother sometimes is also at work in the kitchen.  I had a nice lasagna, which was tasty and filling; something more creative could have been done with the side dish.  My friend's caprese looked and tasted nice, but for my money I'd have gone to Il Gattopardo-- where caprese is served with the freshest mozzarella and basil and heirloom yellow tomatoes that literally made my mouth water for more.

A nice, cozy place; great wine list and friendly staff.  But probably not New York's best offering for Italian cuisine.",False,2,0,1,Fabio P.,en,"{'neg': 0.024, 'neu': 0.719, 'pos': 0.257, 'compound': 0.9932}",0.9932,0.257,0.024,0.719,positive
601,2009-03-04 21:42:25+00:00,2,"More like I SO SO.  This place is overrated.  I had the special scampi risotto which was incredibly disappointing and had no flavor, I had to ask for salt and olive oil to spruce it up   trader joes 3 dollar instant is better.  I give it an extra star since for good service and nice decor.",False,4,0,0,Cindy L.,en,"{'neg': 0.155, 'neu': 0.636, 'pos': 0.209, 'compound': 0.3818}",0.3818,0.209,0.155,0.636,positive
